NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Hedo Turkoglu,Lac,SF,34,38,10.1,20.9,15.3,0.12,18,0.5,59,1.552631579,0.339,0.526342105,50,1.315789474,0.44,0.578947368,2.868421053,1.105289474,0.385330275,0.492,3,2.3,12.9,0.9,12.2,0.5,0.26,7.3,0.236842105,15.8239294,11.55146847,0.486247706
Evan Turner,Phi,SF,25,54,34.7,71.4,24.5,0.143,228,0.829,699,12.94444444,0.455,5.889722222,132,2.444444444,0.288,0.704,15.38888889,6.593722222,0.428472924,0.504,17.4,6,9.3,3.6,17.7,1.04,0.09,8.3,3.500222222,22.36945348,16.32970104,0.45134657
Evan Turner,Ind,SF,25,27,21,43,19.4,0.142,34,0.706,167,6.185185185,0.401,2.480259259,24,0.888888889,0.5,0.444444444,7.074074074,2.924703704,0.413439791,0.471,7.2,3.2,8.5,2.4,18.7,0.41,0.07,7.3,0.889037037,15.16407202,11.06977257,0.444853403
Jeremy Tyler,Nyk,C,22,41,9.5,19.5,19.4,0.159,48,0.542,116,2.829268293,0.517,1.462731707,0,0,0,0,2.829268293,1.462731707,0.517,0.532,3.6,2.7,16.4,0.2,3.4,0.15,0.49,5.3,0.634536585,18.56533462,13.55269427,0.517
Ekpe Udoh,Mil,PF,26,42,18.9,38.7,11.5,0.188,47,0.638,143,3.404761905,0.399,1.3585,0,0,0,0,3.404761905,1.3585,0.399,0.44,3.4,3.5,10.7,0.7,5.8,0.36,1.05,4.3,0.713952381,11.33714489,8.276115773,0.399
Beno Udrih,Nyk,SG,31,31,18.7,38.1,17,0.198,24,0.833,120,3.870967742,0.425,1.64516129,40,1.290322581,0.425,0.548387097,5.161290323,2.193548387,0.425,0.507,5.6,1.8,5.8,3.5,29.3,0.71,0.1,7,0.644903226,16.86952159,12.31475076,0.478125
Beno Udrih,Mem,SG,31,10,5.3,10.5,22.3,0.195,6,0.833,16,1.6,0.5,0.8,2,0.2,1,0.2,1.8,1,0.555555556,0.654,2.7,0.2,2.2,0.6,18.8,0.1,0.1,5.2,0.4998,18.95215771,13.83507513,0.611111111
Jonas Valanciunas,Tor,C,21,81,28,57.4,18.6,0.147,260,0.762,675,8.333333333,0.532,4.433333333,1,0.012345679,0,0,8.345679012,4.433333333,0.531213018,0.579,11.3,8.8,18.3,0.7,4.3,0.3,0.88,5.9,2.445925926,22.45982662,16.39567344,0.531213018
Anderson Varejao,Cle,C,31,65,27.5,56.4,14.7,0.122,135,0.681,452,6.953846154,0.502,3.490830769,7,0.107692308,0,0,7.061538462,3.490830769,0.494344227,0.527,8.4,9.7,19.7,2.2,12.3,1.06,0.6,8.2,1.414384615,21.67514074,15.82285274,0.494344227
Jarvis Varnado,Phi,PF,25,23,14.4,29.1,11.9,0.108,52,0.519,60,2.608695652,0.6,1.565217391,0,0,0,0,2.608695652,1.565217391,0.6,0.597,4.3,2.7,10.3,0.6,5.8,0.43,1.26,5.3,1.173391304,20.27449871,14.80038406,0.6
