NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
Pablo Prigioni,Nyk,PG,35,78,16,33.3,11.9,0.271,25,0.88,86,1.102564103,0.547,0.603102564,134,1.717948718,0.396,0.680307692,2.820512821,1.283410256,0.455027273,0.595,3.5,1.8,6.7,3,27.8,0.03,6.7,0.88,0.282051282,15.17687157,12.61044926,0.575627272
Patrick Beverley,Hou,PG,24,41,17.2,35.5,15.6,0.175,41,0.829,93,2.268292683,0.462,1.04795122,96,2.341463415,0.375,0.87804878,4.609756098,1.926,0.417809524,0.551,5.6,2.7,8.8,2.9,24.5,0.51,8.2,0.9,0.829,19.18660646,15.94213446,0.513047619
Patrick Mills,San,PG,24,58,11,22.7,20.7,0.135,19,0.842,111,1.913793103,0.55,1.052586207,130,2.24137931,0.4,0.896551724,4.155172414,1.949137931,0.469087137,0.59,5.1,0.9,4.5,1.1,15.4,0.07,6.2,0.45,0.275827586,16.67992031,13.85933115,0.576970954
Patrick Patterson,Hou,PF,23,47,25.7,53.1,18.7,0.081,49,0.755,359,7.638297872,0.56,4.277446809,96,2.042553191,0.365,0.745531915,9.680851064,5.022978723,0.518857143,0.571,11.6,4.7,10.4,1.1,7,0.57,6.1,0.38,0.78712766,18.41345008,15.2997195,0.557362637
Patrick Patterson,Sac,PF,23,24,22.9,46.6,15.6,0.098,14,0.786,132,5.5,0.508,2.794,36,1.5,0.444,0.666,7,3.46,0.494285714,0.554,8,4.8,11.9,1.3,8.7,0.54,6.4,0.54,0.4585,16.58467895,13.78019518,0.541857143
Pau Gasol,Lal,PF,32,49,33.6,69.5,20.6,0.137,178,0.702,551,11.24489796,0.475,5.341326531,28,0.571428571,0.286,0.163428571,11.81632653,5.504755102,0.465860104,0.512,13.7,8.6,14.1,4.1,20.1,1.24,9.3,0.49,2.550122449,21.38258256,17.76676907,0.472775475
Paul George,Ind,SG,22,79,37.4,77.4,23.6,0.152,274,0.807,707,8.949367089,0.457,4.089860759,469,5.936708861,0.362,2.149088608,14.88607595,6.238949367,0.419113095,0.531,17.4,7.6,11.4,4.2,19.9,0.63,8.8,1.8,2.798962025,21.71353979,18.04176115,0.491297619
Paul Millsap,Uta,PF,27,78,30.1,62,22.7,0.118,356,0.742,836,10.71794872,0.498,5.337538462,39,0.5,0.333,0.1665,11.21794872,5.504038462,0.490645714,0.55,14.6,7.1,13.8,2.6,14.7,1.03,8.6,1.31,3.386564103,23.72751599,19.7151722,0.498066857
Paul Pierce,Bos,SF,35,77,33.2,67.8,27.6,0.143,423,0.787,710,9.220779221,0.466,4.296883117,382,4.961038961,0.38,1.885194805,14.18181818,6.182077922,0.435915751,0.559,18.6,6.3,11.2,4.8,25.3,0.39,9.9,1.09,4.32338961,25.03537102,20.8018678,0.502380952
Quincy Acy,Tor,PF,22,29,11.6,23.2,15,0.156,38,0.816,73,2.517241379,0.562,1.414689655,2,0.068965517,0.5,0.034482759,2.586206897,1.449172414,0.560346667,0.632,4,2.7,13.6,0.4,5.3,0.52,5.6,0.45,1.069241379,18.23201496,15.14896523,0.567013333
Quincy Pondexter,Mem,SF,24,59,20.9,43.1,14,0.112,75,0.787,147,2.491525424,0.463,1.153576271,152,2.576271186,0.395,1.017627119,5.06779661,2.17120339,0.428431438,0.565,6.4,2.2,6.3,1,7.7,0.1,4.6,0.59,1.000423729,11.6575007,9.686207095,0.528832776
Rajon Rondo,Bos,PG,26,38,37.2,74.3,21.9,0.226,93,0.645,415,10.92105263,0.513,5.6025,50,1.315789474,0.24,0.315789474,12.23684211,5.918289474,0.483645161,0.516,13.7,5.6,8.9,11,49.6,0.24,10.2,1.84,1.578552632,23.95752405,19.9062857,0.496548387
Ramon Sessions,Cha,PG,26,61,26.9,55.6,25.9,0.112,347,0.839,569,9.327868852,0.427,3.983,107,1.754098361,0.308,0.540262295,11.08196721,4.523262295,0.408164201,0.529,14.4,2.8,5.9,3.8,25.7,0.11,8,0.79,4.772672131,20.86003635,17.33258589,0.432539941
Randy Foye,Uta,SG,29,82,27,55.7,18.3,0.103,144,0.819,304,3.707317073,0.378,1.401365854,434,5.292682927,0.41,2.17,9,3.571365854,0.396818428,0.55,10.8,1.5,3.4,2,11.9,0.32,4.7,0.8,1.438243902,14.18368431,11.78521084,0.517373984
Rashard Lewis,Mia,SF,33,55,14.2,29.2,18.4,0.109,45,0.622,118,2.145454545,0.441,0.946145455,131,2.381818182,0.389,0.926527273,4.527272727,1.872672727,0.41364257,0.53,5.2,2.2,9.5,0.5,5.8,0.25,5,0.38,0.508909091,12.79260634,10.62936538,0.51596988
Rasheed Wallace,Nyk,C,38,21,13.9,28.7,25.8,0.062,20,0.7,73,3.476190476,0.452,1.571238095,69,3.285714286,0.319,1.048142857,6.761904762,2.619380952,0.387373239,0.484,7,4,16.6,0.3,3.6,0.71,5.8,0.62,0.666666667,19.40342343,16.1222875,0.46487676
Ray Allen,Mia,SG,37,79,25.6,52.7,19.5,0.125,158,0.886,319,4.037974684,0.48,1.938227848,332,4.202531646,0.419,1.760860759,8.240506329,3.699088608,0.448890937,0.599,10.9,2.7,6.6,1.7,10.3,0.19,5.8,0.85,1.772,17.06764438,14.18149073,0.555732719
Raymond Felton,Nyk,PG,28,68,33.8,70.2,22.2,0.142,128,0.789,624,9.176470588,0.455,4.175294118,258,3.794117647,0.36,1.365882353,12.97058824,5.541176471,0.427210884,0.505,13.9,2.9,5,5.5,27.2,0.21,7.2,1.38,1.485176471,17.8457218,14.82799458,0.479863945
Reggie Evans,Bro,C,32,80,24.4,50.4,11.1,0.236,222,0.509,261,3.2625,0.479,1.5627375,0,0,0,0,3.2625,1.5627375,0.479,0.506,4.5,11.1,26.9,0.5,3.3,0.16,4.8,0.93,1.412475,15.68116289,13.02946448,0.479
Reggie Jackson,Okc,PG,22,70,14,28.9,18.8,0.131,62,0.839,221,3.157142857,0.566,1.786942857,104,1.485714286,0.231,0.3432,4.642857143,2.130142857,0.4588,0.531,5.3,2.4,9.7,1.7,19.6,0.19,8,0.41,0.743114286,17.01926747,14.14129439,0.49576
Richard Hamilton,Chi,SG,34,50,21.4,44,25.5,0.142,77,0.857,423,8.46,0.444,3.75624,52,1.04,0.308,0.32032,9.5,4.07656,0.429111579,0.481,9.8,1.7,4.5,2.4,20.3,0.1,6.4,0.48,1.31978,15.03655665,12.49386172,0.445970526
Richard Jefferson,Gol,SF,32,56,10,20.5,14.6,0.126,53,0.717,91,1.625,0.527,0.856375,45,0.803571429,0.311,0.249910714,2.428571429,1.106285714,0.455529412,0.552,3.1,1.5,8.3,0.5,7.9,0.13,5.3,0.25,0.678589286,11.4583431,9.520727218,0.506981617
Ricky Rubio,Min,PG,22,57,29.5,61.2,21.4,0.214,264,0.799,422,7.403508772,0.374,2.768912281,92,1.614035088,0.293,0.472912281,9.01754386,3.241824561,0.359501946,0.482,10.7,4,7.8,7.3,39.1,0.09,9.2,2.4,3.700631579,21.63679749,17.97799604,0.385723735
Robin Lopez,Nor,C,24,82,25.9,53.6,20.2,0.12,207,0.778,719,8.768292683,0.534,4.682268293,0,0,0,0,8.768292683,4.682268293,0.534,0.573,11.3,5.6,13,0.8,5.3,1.56,5.7,0.39,1.96397561,20.85992873,17.33249647,0.534
Rodney Stuckey,Det,SG,26,76,28.4,58.7,21.1,0.134,272,0.783,566,7.447368421,0.44,3.276842105,182,2.394736842,0.302,0.723210526,9.842105263,4.000052632,0.40642246,0.505,11.5,2.8,5.7,3.6,20.5,0.22,6.9,0.67,2.802315789,16.13828975,13.40929078,0.443163102
Rodrigue Beaubois,Dal,PG,24,45,12,24.3,19.1,0.146,38,0.789,104,2.311111111,0.423,0.9776,72,1.6,0.292,0.4672,3.911111111,1.4448,0.369409091,0.47,4,1.2,5.7,1.9,23,0.09,7,0.42,0.666266667,13.1717214,10.94437175,0.429136364
Roger Mason Jr.,Nor,SG,32,69,17.5,36.2,14.5,0.136,43,0.907,146,2.115942029,0.452,0.956405797,159,2.304347826,0.415,0.956304348,4.420289855,1.912710145,0.432711475,0.57,5.3,1.9,6.5,1.1,9.8,0.16,5.1,0.38,0.565231884,11.96153387,9.938827988,0.540883607
Ronnie Brewer,Nyk,SG,27,46,15.3,31.7,13.7,0.068,39,0.41,104,2.260869565,0.404,0.913391304,71,1.543478261,0.31,0.478478261,3.804347826,1.391869565,0.365862857,0.432,3.6,2.2,8.3,0.9,8.5,0.13,5,0.74,0.347608696,8.939049829,7.427448655,0.428748571
Ronnie Price,Por,PG,29,39,12.8,26.3,15.1,0.207,24,0.708,81,2.076923077,0.358,0.743538462,39,1,0.256,0.256,3.076923077,0.999538462,0.32485,0.402,2.7,1.1,5.1,1.9,21.4,0.08,5.6,0.67,0.435692308,9.370147802,7.785647582,0.36645
Ronny Turiaf,Lac,C,30,65,10.6,22,10.2,0.189,63,0.365,97,1.492307692,0.505,0.753615385,0,0,0,0,1.492307692,0.753615385,0.505,0.485,1.9,2.3,13.2,0.5,7,0.54,4.9,0.29,0.353769231,10.71141431,8.900104745,0.505
Roy Hibbert,Ind,C,26,79,28.5,59,22.6,0.144,224,0.741,855,10.82278481,0.449,4.85943038,4,0.050632911,0.25,0.012658228,10.87341772,4.872088608,0.448073341,0.489,11.9,8.3,16.2,1.4,9,2.63,7.3,0.51,2.101063291,22.08565016,18.35094733,0.448655413
Royal Ivey,Phi,PG,31,53,13,26.8,11.5,0.117,16,0.563,56,1.056603774,0.446,0.471245283,88,1.660377358,0.42,0.697358491,2.716981132,1.168603774,0.430111111,0.563,3.2,1.1,4.7,0.6,6.8,0.06,3.9,0.43,0.169962264,8.477463762,7.043917197,0.558444445
Rudy Gay,Mem,SF,26,42,36.5,75.1,25.9,0.121,156,0.776,559,13.30952381,0.431,5.736404762,129,3.071428571,0.31,0.952142857,16.38095238,6.688547619,0.4083125,0.478,17.2,5.9,9.6,2.6,12.5,0.74,7,1.33,2.882285714,17.58629896,14.61244037,0.437375
Rudy Gay,Tor,SF,26,33,34.5,69.3,29.3,0.131,139,0.856,434,13.15151515,0.452,5.944484848,131,3.96969697,0.336,1.333818182,17.12121212,7.27830303,0.425104425,0.513,19.5,6.4,11.1,2.8,15.4,0.67,8.2,1.76,3.605575758,22.50180879,18.69673316,0.464056637
Russell Westbrook,Okc,PG,24,82,34.7,71.7,32.9,0.132,575,0.8,1235,15.06097561,0.466,7.018414634,300,3.658536585,0.323,1.181707317,18.7195122,8.200121951,0.438052117,0.532,23.2,5.2,8.6,7.4,38.7,0.29,11.1,1.77,5.609756098,29.15703602,24.22655563,0.469615635
Ryan Anderson,Nor,SF,24,81,30.7,63.6,24.1,0.075,180,0.844,557,6.87654321,0.465,3.197592593,557,6.87654321,0.382,2.626839506,13.75308642,5.824432099,0.4235,0.549,16.2,6.4,12.4,1.2,7,0.38,6.5,0.52,1.875555556,19.46265308,16.17150136,0.519
Ryan Hollins,Lac,C,28,60,10.8,22.5,13.8,0.224,88,0.75,114,1.9,0.614,1.1666,0,0,0,0,1.9,1.1666,0.614,0.674,3.4,2.3,12.7,0.2,2.4,0.57,4.3,0.1,1.1,15.98764524,13.28412039,0.614
Sam Young,Ind,SF,27,56,12.2,25.1,13.3,0.165,43,0.535,96,1.714285714,0.438,0.750857143,52,0.928571429,0.308,0.286,2.642857143,1.036857143,0.392324324,0.464,2.8,2.2,10,0.8,9.6,0.14,5.6,0.27,0.410803571,9.230742201,7.669815591,0.446432432
Samardo Samuels,Cle,PF,24,18,10.6,21.9,17.8,0.078,24,0.583,59,3.277777778,0.373,1.222611111,1,0.055555556,0,0,3.333333333,1.222611111,0.366783333,0.411,3.2,1.6,8.5,0.4,6.5,0.17,4.8,0.17,0.777333333,7.281807296,6.050447289,0.366783333
Samuel Dalembert,Mil,C,31,47,16.1,33.1,18.9,0.155,55,0.691,252,5.361702128,0.54,2.895319149,1,0.021276596,1,0.021276596,5.382978723,2.916595745,0.541818182,0.565,6.7,5.9,19.6,0.4,4.6,1.13,6.2,0.36,0.808617021,23.08709039,19.18304314,0.543794467
Sasha Pavlovic,Por,SF,29,39,13.3,27.3,12,0.103,6,0.167,59,1.512820513,0.407,0.615717949,60,1.538461538,0.3,0.461538462,3.051282051,1.07725641,0.35305042,0.423,2.6,1.4,6.3,0.8,9.1,0.13,4.3,0.62,0.025692308,6.912490626,5.743582392,0.428680672
Sebastian Telfair,Pho,PG,27,46,17.1,35.2,18.4,0.163,57,0.772,134,2.913043478,0.381,1.109869565,113,2.456521739,0.381,0.935934783,5.369565217,2.045804348,0.381,0.505,6,1.5,4.9,2.5,22.2,0.22,6.6,0.61,0.956608696,14.84092504,12.33131158,0.468151822
Sebastian Telfair,Tor,PG,27,13,14.1,26.8,19.6,0.142,12,0.833,25,1.923076923,0.32,0.615384615,36,2.769230769,0.278,0.769846154,4.692307692,1.385230769,0.295213115,0.422,4.3,1.2,5.2,3,32.9,0.08,7.1,0.69,0.768923077,13.41533788,11.14679246,0.377245902
Serge Ibaka,Okc,PF,23,80,30.9,63.8,18.2,0.127,191,0.749,720,9,0.59,5.31,57,0.7125,0.351,0.2500875,9.7125,5.5600875,0.572467181,0.611,13.2,7.7,14.3,0.5,2.9,3.03,4.8,0.35,1.7882375,23.66390387,19.66231695,0.585341699
Shavlik Randolph,Bos,PF,29,16,12.2,22.9,17,0.143,27,0.407,48,3,0.583,1.749,0,0,0,0,3,1.749,0.583,0.559,4.2,4.4,21.3,0.3,3.4,0.44,5.8,0.5,0.6868125,18.87962796,15.68706629,0.583
Shane Battier,Mia,SF,34,72,24.6,50.7,11.1,0.082,38,0.842,46,0.638888889,0.348,0.222333333,316,4.388888889,0.43,1.887222222,5.027777778,2.109555556,0.41958011,0.623,6.6,2.3,5.7,1,5.7,0.76,4,0.57,0.444388889,12.07056101,10.02941854,0.607259669
Shannon Brown,Pho,SG,27,59,23.6,48.7,22.4,0.106,125,0.784,430,7.288135593,0.467,3.403559322,141,2.389830508,0.277,0.661983051,9.677966102,4.065542373,0.420082312,0.493,10.5,2.5,6.1,1.8,12.9,0.25,6.1,1,1.661016949,15.58969383,12.95346292,0.454282837
Shaun Livingston,Was,PG,27,17,18.6,37.1,12.9,0.19,15,1,63,3.705882353,0.381,1.411941176,3,0.176470588,0,0,3.882352941,1.411941176,0.363681818,0.434,3.7,2.2,6.5,2.2,18.3,0.12,5.6,0.65,0.882352941,10.09597197,8.388734247,0.363681818
Shaun Livingston,Cle,PG,27,49,23,47.6,14.9,0.157,83,0.843,279,5.693877551,0.509,2.898183673,1,0.020408163,0,0,5.714285714,2.898183673,0.507182143,0.559,7.2,2.5,6.2,3.6,24.9,0.59,7,0.76,1.427938776,17.71460848,14.71905263,0.507182143
Shawn Marion,Dal,SF,34,67,29.8,61,19.1,0.123,101,0.782,617,9.208955224,0.538,4.95441791,73,1.089552239,0.315,0.343208955,10.29850746,5.297626866,0.514407246,0.553,12.1,7.8,14.4,2.4,13,0.69,8.2,1.1,1.178835821,21.12078587,17.54924243,0.53107029
Shelvin Mack,Was,PG,22,7,19.9,37.5,16,0.164,2,0.5,27,3.857142857,0.444,1.712571429,13,1.857142857,0.308,0.572,5.714285714,2.284571429,0.3998,0.453,5.3,2.3,6.4,3.3,26.8,0,6.9,0.86,0.142857143,13.05252549,10.84533197,0.44985
Shelvin Mack,Atl,PG,22,20,13.2,26.6,20,0.21,14,0.571,49,2.45,0.551,1.34995,35,1.75,0.4,0.7,4.2,2.04995,0.488083333,0.577,5.2,1.2,5.2,2.2,26.8,0,7.3,0.45,0.3997,17.146841,14.24729513,0.571416667
Solomon Jones,Nyk,PF,28,2,12.8,24.2,7.3,0.75,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1.5,6.9,0,0,0.5,0,0,0,0,0,0
Spencer Hawes,Phi,PF,24,82,27.1,56.2,21,0.13,157,0.777,724,8.829268293,0.477,4.211560976,87,1.06097561,0.356,0.377707317,9.890243902,4.589268293,0.464019729,0.514,11,7.2,15,2.2,13.6,1.39,8.2,0.29,1.487670732,20.53887209,17.06573079,0.483114673
Stephen Curry,Gol,PG,24,78,37.7,78,26.7,0.136,291,0.9,788,10.1025641,0.449,4.536051282,600,7.692307692,0.453,3.484615385,17.79487179,8.020666667,0.450729107,0.589,22.9,4,5.9,6.9,31.7,0.15,9.1,1.62,3.357692308,26.57660396,22.0824769,0.54863977
Stephen Jackson,San,SF,34,55,19.3,39.7,18.9,0.176,70,0.7,160,2.909090909,0.481,1.399272727,170,3.090909091,0.271,0.837636364,6,2.236909091,0.372818182,0.473,6.2,2.8,8.4,1.5,10.9,0.25,6.1,0.67,0.890909091,12.50000547,10.38624357,0.442621212
Steve Blake,Lal,PG,32,45,25.8,53.4,13.3,0.178,35,0.771,99,2.2,0.424,0.9328,171,3.8,0.421,1.5998,6,2.5326,0.4221,0.573,7.3,2.9,6.3,3.8,22.1,0.13,6.7,0.76,0.599666667,15.01364868,12.47482751,0.555416667
Steve Nash,Lal,PG,38,50,32.3,66.9,18,0.193,116,0.922,345,6.9,0.519,3.5811,130,2.6,0.438,1.1388,9.5,4.7199,0.496831579,0.605,12.7,2.8,4.8,6.7,33,0.1,7.7,0.6,2.13904,20.51492018,17.04582916,0.556768421
Steve Novak,Nyk,SF,29,81,20,41.7,13.2,0.026,33,0.909,79,0.975308642,0.367,0.357938272,351,4.333333333,0.425,1.841666667,5.308641975,2.199604938,0.414344186,0.602,6.6,1.9,5.5,0.4,3.3,0.1,3.4,0.35,0.370333333,10.89261369,9.050663149,0.587803488
Taj Gibson,Chi,PF,27,65,22.1,45.6,18.4,0.132,131,0.679,437,6.723076923,0.49,3.294307692,4,0.061538462,0,0,6.784615385,3.294307692,0.485555556,0.518,8,5.3,13.8,0.9,7.2,1.4,6.1,0.42,1.368446154,18.28618057,15.19397138,0.485555555
Tayshaun Prince,Det,SF,32,45,32.2,66.3,18.2,0.093,93,0.796,431,9.577777778,0.445,4.262111111,53,1.177777778,0.434,0.511155556,10.75555556,4.773266667,0.443795455,0.502,11.7,4.6,8.3,2.5,12.7,0.29,6.4,0.47,1.645066667,14.2670661,11.85449269,0.467557851
Tayshaun Prince,Mem,SF,32,37,31.6,64.8,15.3,0.09,37,0.595,295,7.972972973,0.437,3.484189189,41,1.108108108,0.366,0.405567568,9.081081081,3.889756757,0.42833631,0.461,8.8,4.2,7.8,2.3,11.8,0.32,5.6,0.73,0.595,11.26003193,9.355950645,0.450666667
Terrence Jones,Hou,SF,21,19,14.3,29.2,18.4,0.114,17,0.765,75,3.947368421,0.507,2.001315789,19,1,0.263,0.263,4.947368421,2.264315789,0.457680851,0.512,5.5,3.4,13.5,0.8,8.7,1,6.9,0.63,0.684473684,19.45758218,16.16728795,0.484260638
Terrence Ross,Tor,SG,21,73,16.8,34.3,19.9,0.092,42,0.714,261,3.575342466,0.464,1.658958904,197,2.698630137,0.33,0.890547945,6.273972603,2.549506849,0.406362445,0.49,6.4,2,7,0.7,7.3,0.19,4.9,0.59,0.410794521,12.00665243,9.97631696,0.477334061
Terrence Williams,Bos,SG,25,24,13,25.4,19.5,0.171,22,0.409,82,3.416666667,0.524,1.790333333,15,0.625,0.333,0.208125,4.041666667,1.998458333,0.494463918,0.516,4.6,1.8,8.3,1.6,20.2,0.08,7.3,0.46,0.374916667,14.77194734,12.27399808,0.52021134
Thabo Sefolosha,Okc,SG,28,81,27.3,56.5,11.5,0.114,69,0.826,208,2.567901235,0.558,1.432888889,258,3.185185185,0.419,1.334592593,5.75308642,2.767481481,0.481042918,0.617,7.6,3.9,8.2,1.5,8.2,0.54,5.2,1.27,0.70362963,14.74592256,12.25237411,0.597032189
Thaddeus Young,Phi,PF,24,76,34.5,71.5,19.9,0.079,188,0.574,950,12.5,0.535,6.6875,8,0.105263158,0.125,0.013157895,12.60526316,6.700657895,0.5315762,0.541,14.8,7.5,12.3,1.6,8.2,0.72,6.5,1.75,1.419894737,19.89664973,16.53210879,0.532098121
Thomas Robinson,Sac,PF,21,51,15.7,32.2,18.9,0.195,71,0.577,242,4.745098039,0.426,2.021411765,0,0,0,0,4.745098039,2.021411765,0.426,0.452,4.8,4.7,16.9,0.7,6.9,0.41,6.4,0.47,0.80327451,14.50585023,12.05289822,0.426
Thomas Robinson,Hou,PF,21,19,12.8,26.1,21.2,0.195,38,0.421,77,4.052631579,0.455,1.843947368,1,0.052631579,0,0,4.105263158,1.843947368,0.449166667,0.454,4.5,4.1,18,0.5,6.4,0.26,6.6,0.84,0.842,16.17326821,13.43835436,0.449166667
Tiago Splitter,San,C,28,81,24.4,50.4,18.3,0.127,285,0.73,561,6.925925926,0.561,3.885444444,2,0.024691358,0,0,6.950617284,3.885444444,0.559007105,0.609,10.3,6.3,15,1.6,10.1,0.79,7.7,0.78,2.568518519,22.54321874,18.73114066,0.559007105
Tim Duncan,San,PF,36,69,29.5,60.7,28.4,0.117,300,0.817,969,14.04347826,0.504,7.077913043,7,0.101449275,0.286,0.029014493,14.14492754,7.106927536,0.502436475,0.554,17.8,10,19.5,2.7,16,2.62,10.6,0.72,3.552173913,31.85987155,26.4723393,0.50346209
Tobias Harris,Mil,SF,20,28,11.5,23.3,19.6,0.125,26,0.885,94,3.357142857,0.489,1.641642857,21,0.75,0.333,0.24975,4.107142857,1.891392857,0.460513043,0.538,4.9,2,9.5,0.5,6.5,0.25,5.9,0.29,0.821785714,15.34214638,12.74777596,0.490917391
Tobias Harris,Orl,SF,20,27,35.9,73.7,23.2,0.097,111,0.721,310,11.48148148,0.494,5.671851852,87,3.222222222,0.31,0.998888889,14.7037037,6.670740741,0.453677582,0.524,17.3,8.5,13.4,2.1,9.7,1.37,7.5,0.89,2.964111111,21.262445,17.66694688,0.487644836
Toney Douglas,Hou,PG,26,49,18.4,38,21.2,0.128,68,0.882,190,3.87755102,0.411,1.593673469,162,3.306122449,0.377,1.246408163,7.183673469,2.840081633,0.395352273,0.522,8.1,1.8,5.7,1.9,16.2,0.04,6.6,0.82,1.224,16.16877723,13.4346228,0.482105114
Toney Douglas,Sac,PG,26,22,16.9,34.2,17.5,0.171,16,1,60,2.727272727,0.467,1.273636364,54,2.454545455,0.389,0.954818182,5.181818182,2.228454545,0.430052632,0.558,6.1,2.2,7.3,2.6,24.2,0.05,7.7,1.41,0.727272727,19.02532978,15.80812981,0.52218421
Tony Allen,Mem,SG,31,79,26.5,54.8,17.9,0.115,187,0.717,614,7.772151899,0.458,3.55964557,24,0.303797468,0.125,0.037974684,8.075949367,3.597620253,0.445473354,0.489,8.9,4.6,10.2,1.2,7.6,0.56,5.5,1.52,1.697202532,15.11960012,12.56286247,0.447824451
Tony Parker,San,PG,30,66,32.5,66.9,28.1,0.13,330,0.845,926,14.03030303,0.535,7.506212121,69,1.045454545,0.348,0.363818182,15.07575758,7.870030303,0.522032161,0.588,20.3,3,5.3,7.6,41.1,0.09,9.5,0.82,4.225,28.55109808,23.72308233,0.534098492
Travis Outlaw,Sac,SF,28,38,11.5,23.5,22.3,0.087,52,0.731,127,3.342105263,0.472,1.577473684,50,1.315789474,0.28,0.368421053,4.657894737,1.945894737,0.417762712,0.5,5.3,1.6,7.9,0.6,7.9,0.21,6,0.29,1.000315789,14.19653034,11.7958846,0.457310735
Trevor Ariza,Was,SF,27,56,26.1,53.6,18,0.146,95,0.821,242,4.321428571,0.463,2.000821429,209,3.732142857,0.364,1.3585,8.053571429,3.359321429,0.417121951,0.538,9.5,4.8,10.1,2,12.9,0.36,6.9,1.29,1.392767857,17.08803212,14.19843089,0.501463415
Trevor Booker,Was,PF,25,48,18.3,37.5,14.7,0.11,72,0.556,215,4.479166667,0.502,2.248541667,5,0.104166667,0,0,4.583333333,2.248541667,0.490590909,0.509,5.3,5,15.1,0.8,7.5,0.33,6,0.67,0.834,15.08350254,12.53286902,0.490590909
Tristan Thompson,Cle,PF,21,82,31.1,64.6,18.4,0.117,291,0.608,796,9.707317073,0.49,4.756585366,3,0.036585366,0,0,9.743902439,4.756585366,0.4881602,0.516,11.7,9.4,17.6,1.3,7,0.87,6.7,0.73,2.157658537,18.74573725,15.57581662,0.4881602
Troy Murphy,Dal,PF,32,14,18.1,34.6,13.1,0.096,11,0.909,26,1.857142857,0.423,0.785571429,35,2.5,0.314,0.785,4.357142857,1.570571429,0.360459016,0.494,4.6,3.5,10.6,0.5,3.9,0.43,4.4,0.71,0.714214286,11.55931197,9.604622164,0.450540984
Ty Lawson,Den,PG,25,73,34.2,70.4,22.4,0.141,311,0.756,739,10.12328767,0.491,4.970534247,232,3.178082192,0.366,1.163178082,13.30136986,6.133712329,0.461133883,0.549,16.7,2.7,4.4,6.8,30.3,0.11,7.9,1.48,3.220767123,22.26567504,18.50052984,0.504857879
Tyler Hansbrough,Ind,PF,27,81,16.7,34.5,20.8,0.126,300,0.72,404,4.987654321,0.436,2.174617284,3,0.037037037,0,0,5.024691358,2.174617284,0.432786241,0.527,7,4.6,15.4,0.4,4.5,0.23,5.6,0.36,2.666666667,17.20644626,14.29682109,0.432786241
Tyler Zeller,Cle,C,23,77,26.2,54.5,16,0.131,157,0.764,555,7.207792208,0.441,3.178636364,4,0.051948052,0,0,7.25974026,3.178636364,0.437844365,0.486,7.9,5.7,12.6,1.2,7.5,0.91,5.8,0.45,1.557766234,14.4015685,11.96625062,0.437844365
Tyreke Evans,Sac,SG,23,65,30.8,63.6,22.4,0.126,271,0.775,632,9.723076923,0.508,4.939323077,133,2.046153846,0.338,0.6916,11.76923077,5.630923077,0.478444444,0.558,15.2,4.4,8.1,3.5,19.1,0.42,8,1.38,3.231153846,21.86319489,18.16610944,0.507826144
Tyrus Thomas,Cha,PF,26,26,13.6,27.9,21.4,0.102,31,0.839,128,4.923076923,0.352,1.732923077,8,0.307692308,0.375,0.115384615,5.230769231,1.848307692,0.353352941,0.418,4.8,2.3,9.7,0.7,9.3,0.58,5.8,0.54,1.000346154,12.34937839,10.26108766,0.364382353
Tyson Chandler,Nyk,C,30,66,32.6,67.7,13.1,0.145,258,0.694,400,6.060606061,0.638,3.866666667,0,0,0,0,6.060606061,3.866666667,0.638,0.671,10.4,10.6,19.1,0.9,4.5,1.15,5.7,0.64,2.712909091,20.56388497,17.08651397,0.638
Udonis Haslem,Mia,PF,32,75,18.6,38.4,10.8,0.142,45,0.711,251,3.346666667,0.514,1.720186667,0,0,0,0,3.346666667,1.720186667,0.514,0.535,3.9,5.4,17.8,0.5,3.9,0.2,4.7,0.4,0.4266,12.35268943,10.2638388,0.514
Victor Claver,Por,SF,24,49,16.4,33.6,14,0.175,30,0.467,102,2.081632653,0.48,0.999183673,87,1.775510204,0.287,0.509571429,3.857142857,1.508755102,0.39115873,0.462,3.8,2.4,8.6,0.9,8,0.24,4.9,0.53,0.285918367,9.37157356,7.786832243,0.457214286
Vince Carter,Dal,SF,36,81,25.6,52.4,23.3,0.101,223,0.816,456,5.62962963,0.461,2.595259259,399,4.925925926,0.406,1.999925926,10.55555556,4.595185185,0.435333333,0.571,13.4,4.1,8.9,2.4,15.2,0.53,8,0.94,2.246518519,22.086958,18.35203401,0.530066666
Wayne Ellington,Mem,SG,25,40,16.7,34.3,15.9,0.104,16,0.938,102,2.55,0.392,0.9996,97,2.425,0.423,1.025775,4.975,2.025375,0.407110553,0.529,5.5,1.3,4.6,1.1,10,0.03,4.8,0.4,0.3752,10.61020737,8.816011986,0.510203518
Wayne Ellington,Cle,SG,25,38,25.7,53.3,17.7,0.085,59,0.898,187,4.921052632,0.492,2.421157895,143,3.763157895,0.371,1.396131579,8.684210526,3.817289474,0.439566667,0.556,10.4,3,6.8,1.6,10.4,0.05,5.7,0.76,1.394263158,15.22719169,12.65226021,0.51995
