NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,VI,BPG,FTM,PER_n,PER,eFG%
Jodie Meeks,Lal,SG,25,78,21.1,43.8,16.9,0.083,96,0.896,188,2.41025641,0.441,1.062923077,342,4.384615385,0.357,1.565307692,6.794871795,2.628230769,0.386796226,0.54,7.9,2.2,5.7,0.9,6.5,0.06,4.7,0.74,1.102769231,12.76975881,10.61038138,0.501979245
Joe Johnson,Bro,SG,31,72,36.5,75.2,21.9,0.099,161,0.82,658,9.138888889,0.451,4.121638889,395,5.486111111,0.375,2.057291667,14.625,6.178930556,0.422490978,0.521,16.3,3,4.9,3.5,16.9,0.19,6.1,0.68,1.833611111,15.73338022,13.07285181,0.492825736
Johan Petro,Atl,C,27,31,11.1,22.7,18.7,0.172,12,0.917,106,3.419354839,0.443,1.514774194,4,0.129032258,0.25,0.032258065,3.548387097,1.547032258,0.435981818,0.468,3.5,3.6,18.6,0.5,7.3,0.29,6.7,0.32,0.354967742,14.70070973,12.21480681,0.440527273
John Henson,Mil,PF,22,63,13,26.7,22.9,0.11,105,0.533,333,5.285714286,0.486,2.568857143,3,0.047619048,0,0,5.333333333,2.568857143,0.481660714,0.497,6,4.7,19.6,0.5,6.4,0.67,7.4,0.3,0.888333333,21.07533184,17.51147472,0.481660714
John Jenkins,Atl,SG,21,61,14.6,30,19,0.11,70,0.843,156,2.557377049,0.5,1.278688525,138,2.262295082,0.384,0.868721311,4.819672131,2.147409836,0.44555102,0.576,6.1,1.5,6.1,0.9,10,0.16,5.5,0.2,0.967377049,14.52295692,12.06711215,0.535673469
John Lucas III,Tor,PG,29,63,12.9,26.4,21.1,0.07,25,0.72,183,2.904761905,0.393,1.141571429,151,2.396825397,0.377,0.903603175,5.301587302,2.045174603,0.385766467,0.483,5.3,1,4.7,1.7,21.9,0.02,6.5,0.37,0.285714286,12.98469433,10.78897112,0.470986527
John Salmons,Sac,SG,33,76,29.8,61.6,14.6,0.114,110,0.773,345,4.539473684,0.42,1.906578947,267,3.513157895,0.371,1.303381579,8.052631579,3.209960526,0.398622549,0.509,8.8,2.7,5.2,3,14.9,0.33,5.6,0.67,1.118815789,12.49389668,10.38116778,0.479551471
John Wall,Was,PG,22,49,32.5,66.7,29.4,0.153,306,0.804,690,14.08163265,0.452,6.364897959,45,0.918367347,0.267,0.245204082,15,6.610102041,0.440673469,0.521,18.5,4,6.9,7.6,44.1,0.76,10.2,1.31,5.020897959,26.87024005,22.32645887,0.448846939
Jonas Jerebko,Det,PF,25,49,18,37.1,20.5,0.106,88,0.773,233,4.755102041,0.502,2.387061224,83,1.693877551,0.301,0.509857143,6.448979592,2.896918367,0.449205696,0.531,7.7,3.8,12.1,0.9,8.3,0.16,6.6,0.78,1.388244898,17.40684926,14.46333577,0.488735759
Jonas Valanciunas,Tor,C,20,62,23.7,48.4,17.1,0.173,185,0.789,366,5.903225806,0.557,3.288096774,1,0.016129032,0,0,5.919354839,3.288096774,0.555482289,0.618,8.9,6,15.1,0.7,5.2,1.26,5.6,0.26,2.354274194,20.1960313,16.78086468,0.555482289
