NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
Thomas Robinson,Por,PF,23,32,12.2,25.4,16.8,0.227,48,0.438,91,2.84375,0.516,1.467375,0,0,0,0,2.84375,1.467375,0.516,0.513,3.6,4.2,18.2,0.3,3.4,0.53,0.34,5.4,0.657,16.14309509,13.07168487,0.516,,,,,,,,,,,,,,,,,,,,
Thomas Robinson,Phi,PF,23,22,18.5,38.5,24,0.118,58,0.603,167,7.590909091,0.473,3.5905,2,0.090909091,0,0,7.681818182,3.5905,0.467402367,0.496,8.8,7.7,22.6,1.1,11.7,0.73,0.41,9.1,1.589727273,23.42429228,18.96755023,0.467402367,,,,,,,,,,,,,,,,,,,,
Tiago Splitter,San,C,30,52,19.8,41.3,18.6,0.144,120,0.75,303,5.826923077,0.558,3.251423077,0,0,0,0,5.826923077,3.251423077,0.558,0.601,8.2,4.8,13.9,1.5,11.8,0.67,0.71,7.9,1.730769231,22.05133343,17.85581265,0.558,,,,,,,,,,,,,,,,,,,,
Tim Duncan,San,PF,38,77,28.9,60.3,22.5,0.121,311,0.74,812,10.54545455,0.514,5.420363636,7,0.090909091,0.286,0.026,10.63636364,5.446363636,0.512051282,0.56,13.9,9.2,18,3,16.8,0.82,1.95,10.1,2.988831169,27.0418429,21.89682008,0.513273504,,,,,,,,,,,,,,,,,,,,
Tim Frazier,Phi,PG,24,6,28.6,59.5,17.5,0.266,15,0.333,32,5.333333333,0.313,1.669333333,11,1.833333333,0.273,0.5005,7.166666667,2.169833333,0.302767442,0.343,5.7,3.2,6,7.2,40.3,1,0,7.1,0.8325,12.66365493,10.25424837,0.337686047,,,,,,,,,,,,,,,,,,,,
Tim Frazier,Por,PG,24,5,13.6,28.3,18.4,0.253,6,0.833,12,2.4,0.5,1.2,6,1.2,0.333,0.3996,3.6,1.5996,0.444333333,0.557,4.6,1.8,7.1,3.4,36.6,0.4,0,8.9,0.9996,19.65905054,15.9186892,0.499833333,,,,,,,,,,,,,,,,,,,,
Tim Hardaway Jr.,Nyk,SG,22,70,24,50,24.1,0.095,156,0.801,363,5.185714286,0.435,2.255785714,354,5.057142857,0.342,1.729542857,10.24285714,3.985328571,0.389083682,0.512,11.5,2.2,5.4,1.8,13.5,0.29,0.2,6,1.785085714,15.04655478,12.18377401,0.47351046,,,,,,,,,,,,,,,,,,,,
Timofey Mozgov,Cle,C,28,46,25,52,18.4,0.15,130,0.708,334,7.260869565,0.59,4.283913043,0,0,0,0,7.260869565,4.283913043,0.59,0.621,10.6,6.9,15.9,0.8,5.6,0.39,1.22,6.2,2.000869565,21.7917865,17.64564752,0.59,,,,,,,,,,,,,,,,,,,,
Timofey Mozgov,Den,C,28,35,25.6,53.4,15.5,0.148,86,0.733,226,6.457142857,0.509,3.286685714,6,0.171428571,0.333,0.057085714,6.628571429,3.343771429,0.504448276,0.554,8.5,7.8,16.4,0.5,2.7,0.43,1.17,5,1.801085714,17.9149298,14.50640757,0.50875431,,,,,,,,,,,,,,,,,,,,
TJ Warren,Pho,SF,21,40,15.4,32,18.1,0.108,19,0.737,193,4.825,0.56,2.702,21,0.525,0.238,0.12495,5.35,2.82695,0.528401869,0.551,6.1,2.1,7.6,0.6,6.6,0.45,0.23,5.1,0.350075,14.91721708,12.0790443,0.540079439,,,,,,,,,,,,,,,,,,,,
Tobias Harris,Orl,SF,22,68,34.8,72.6,22.8,0.098,245,0.788,710,10.44117647,0.5,5.220588235,239,3.514705882,0.364,1.279352941,13.95588235,6.499941176,0.46574921,0.551,17.1,6.3,10.3,1.8,8.8,1.01,0.53,6.7,2.839117647,19.94325581,16.14882114,0.511584826,,,,,,,,,,,,,,,,,,,,
Toney Douglas,Nor,PG,28,12,14.7,30.7,17.6,0.15,13,0.615,33,2.75,0.424,1.166,18,1.5,0.278,0.417,4.25,1.583,0.372470588,0.45,4.3,1.8,7.1,2,20,0.92,0.33,6.8,0.66625,14.476781,11.72240628,0.421529412,,,,,,,,,,,,,,,,,,,,
Tony Allen,Mem,SG,33,63,26.2,54.5,16.8,0.144,126,0.627,426,6.761904762,0.505,3.414761905,29,0.46031746,0.345,0.158809524,7.222222222,3.573571429,0.494802198,0.528,8.6,4.4,9.7,1.4,8.1,2.03,0.48,5.7,1.254,17.40647593,14.09469292,0.505796703,,,,,,,,,,,,,,,,,,,,
Tony Parker,San,PG,32,68,28.7,59.8,24.8,0.139,166,0.783,743,10.92647059,0.493,5.38675,89,1.308823529,0.427,0.558867647,12.23529412,5.945617647,0.485939904,0.539,14.4,1.9,3.7,4.9,28.7,0.65,0.03,7.1,1.911441176,20.4043921,16.52222093,0.508778245,,,,,,,,,,,,,,,,,,,,
Tony Snell,Chi,SF,23,72,19.6,40.9,14.3,0.108,55,0.8,174,2.416666667,0.494,1.193833333,197,2.736111111,0.371,1.015097222,5.152777778,2.208930556,0.428687332,0.55,6,2.4,6.8,0.9,6.8,0.44,0.15,4.8,0.611111111,11.79792993,9.553237549,0.527187332,,,,,,,,,,,,,,,,,,,,
Tony Wroten,Phi,SG,21,30,29.8,62.1,31,0.18,180,0.667,292,9.733333333,0.473,4.603866667,142,4.733333333,0.261,1.2354,14.46666667,5.839266667,0.403635945,0.494,16.9,2.9,5.2,5.2,34.9,1.6,0.27,8.5,4.002,22.88776821,18.53310605,0.446334101,,,,,,,,,,,,,,,,,,,,
Travis Wear,Nyk,SF,24,51,13.2,27.4,17.8,0.137,26,0.769,179,3.509803922,0.408,1.432,30,0.588235294,0.367,0.215882353,4.098039216,1.647882353,0.402114833,0.451,3.9,2.1,9.1,0.8,9.9,0.29,0.22,5.7,0.392039216,10.32049688,8.356903193,0.428454545,,,,,,,,,,,,,,,,,,,,
Trevor Ariza,Hou,SF,29,82,35.7,74.4,16.7,0.127,143,0.853,355,4.329268293,0.485,2.099695122,555,6.768292683,0.35,2.368902439,11.09756098,4.468597561,0.402664835,0.539,12.8,5.6,8.6,2.5,11.1,1.85,0.21,6.3,1.48754878,16.70447601,13.52625659,0.509395604,,,,,,,,,,,,,,,,,,,,
Trevor Booker,Uta,PF,27,79,19.8,41.2,18.4,0.143,148,0.581,380,4.810126582,0.518,2.49164557,84,1.063291139,0.345,0.366835443,5.873417722,2.858481013,0.486681034,0.536,7.2,5,14.7,1.1,9,0.54,0.52,6.9,1.088455696,17.49240787,14.16427532,0.517909483,,,,,,,,,,,,,,,,,,,,
Trey Burke,Uta,PG,22,76,30.1,62.7,24.4,0.104,145,0.752,615,8.092105263,0.4,3.236842105,390,5.131578947,0.318,1.631842105,13.22368421,4.868684211,0.368179104,0.455,12.8,2.7,5.1,4.3,25,0.86,0.2,7,1.434736842,15.33715758,12.41908627,0.429880597,,,,,,,,,,,,,,,,,,,,
Tristan Thompson,Cle,PF,23,82,26.8,55.7,14.2,0.122,248,0.641,488,5.951219512,0.547,3.255317073,0,0,0,0,5.951219512,3.255317073,0.547,0.58,8.5,8,17.2,0.5,2.7,0.41,0.74,4.8,1.938634146,16.99428361,13.76092494,0.547,,,,,,,,,,,,,,,,,,,,
Troy Daniels,Hou,SG,23,17,6.4,13.3,21.9,0.093,4,0.75,4,0.235294118,0.5,0.117647059,43,2.529411765,0.302,0.763882353,2.764705882,0.881529412,0.318851064,0.472,2.7,0.4,3.1,0.2,5.9,0,0,3.8,0.176470588,4.353051102,3.524832872,0.457,,,,,,,,,,,,,,,,,,,,
Troy Daniels,Min,SG,23,19,8.1,16.9,19.7,0.118,2,1,20,1.052631579,0.3,0.315789474,39,2.052631579,0.333,0.683526316,3.105263158,0.999315789,0.321813559,0.443,2.8,1,7.1,0.7,13.4,0.16,0,6.2,0.105263158,7.829874449,6.340150435,0.431872881,,,,,,,,,,,,,,,,,,,,
Troy Daniels,Cha,SG,23,11,12.3,25.6,23.6,0.101,7,0.857,23,2.090909091,0.435,0.909545455,36,3.272727273,0.472,1.544727273,5.363636364,2.454272727,0.457576271,0.62,7,0.7,3.3,0.5,7,0.27,0.09,4.4,0.545363636,17.51222763,14.18032413,0.601576271,,,,,,,,,,,,,,,,,,,,
Ty Lawson,Den,PG,27,75,35.5,74,20.9,0.146,363,0.73,721,9.613333333,0.463,4.450973333,205,2.733333333,0.341,0.932066667,12.34666667,5.38304,0.435991361,0.526,15.2,3.1,4.7,9.6,43,1.23,0.12,8.6,3.5332,22.97365539,18.60265221,0.473737041,,,,,,,,,,,,,,,,,,,,
Tyler Ennis,Mil,PG,20,25,14.1,29.4,20.7,0.214,5,0.6,86,3.44,0.384,1.32096,37,1.48,0.27,0.3996,4.92,1.72056,0.349707317,0.395,4,1.1,4.5,2.4,25.6,0.72,0.12,6.2,0.12,11.56063901,9.361093961,0.390317073,,,,,,,,,,,,,,,,,,,,
Tyler Ennis,Pho,PG,20,8,7.3,15.2,22.9,0.268,2,1,15,1.875,0.467,0.875625,6,0.75,0.333,0.24975,2.625,1.125375,0.428714286,0.503,2.8,0.9,6.6,1.8,37.2,0,0.25,9.1,0.25,16.42800303,13.30238579,0.476285714,,,,,,,,,,,,,,,,,,,,
Tyler Hansbrough,Tor,PF,29,74,14.3,29.8,10.7,0.081,139,0.698,158,2.135135135,0.538,1.148702703,7,0.094594595,0.143,0.013527027,2.22972973,1.16222973,0.521242424,0.597,3.6,3.6,14.4,0.3,2.8,0.41,0.2,4.4,1.311108108,13.55495975,10.97597216,0.524275758,,,,,,,,,,,,,,,,,,,,
Tyler Johnson,Mia,SG,22,32,18.8,39.3,17.2,0.138,47,0.681,119,3.71875,0.437,1.62509375,48,1.5,0.375,0.5625,5.21875,2.18759375,0.419179641,0.506,5.9,2.5,8.1,1.3,11.3,1.03,0.28,5.7,1.00021875,14.24405788,11.53396141,0.473071856,,,,,,,,,,,,,,,,,,,,
Tyler Zeller,Bos,C,25,82,21.1,44,19.9,0.099,186,0.823,617,7.524390244,0.551,4.145939024,0,0,0,0,7.524390244,4.145939024,0.551,0.596,10.2,5.7,14.7,1.4,10.8,0.22,0.63,8.2,1.866804878,22.81244688,18.47211548,0.551,,,,,,,,,,,,,,,,,,,,
Tyreke Evans,Nor,SF,25,79,34,70.9,26.6,0.16,291,0.694,938,11.87341772,0.482,5.722987342,227,2.873417722,0.304,0.873518987,14.74683544,6.596506329,0.447316738,0.508,16.6,5.3,8.8,6.6,32.7,1.27,0.47,9.8,2.556379747,23.22447679,18.80575194,0.476933906,,,,,,,,,,,,,,,,,,,,
Tyson Chandler,Dal,C,32,75,30.5,63.5,13.1,0.16,257,0.72,440,5.866666667,0.666,3.9072,0,0,0,0,5.866666667,3.9072,0.666,0.697,10.3,11.5,20.7,1.1,5.3,0.56,1.21,6.6,2.4672,22.76302167,18.43209399,0.666,,,,,,,,,,,,,,,,,,,,
Udonis Haslem,Mia,PF,34,62,16,33.4,14.8,0.133,64,0.703,229,3.693548387,0.459,1.69533871,10,0.161290323,0.2,0.032258065,3.85483871,1.727596774,0.44816318,0.488,4.2,4.2,15.6,0.7,7.4,0.34,0.21,5.8,0.725677419,12.76264357,10.33440328,0.45234728,,,,,,,,,,,,,,,,,,,,
Vander Blue,Lal,SG,22,2,36.9,76.8,23.4,0.157,5,0.4,20,10,0.35,3.5,10,5,0.2,1,15,4.5,0.3,0.342,11,4.5,6.7,4,16.8,1.5,0,6.3,1,8.91129264,7.21581633,0.333333333,,,,,,,,,,,,,,,,,,,,
Victor Claver,Por,SF,26,10,7.6,15.8,14.3,0.167,0,0,9,0.9,0.333,0.2997,11,1.1,0.545,0.5995,2,0.8992,0.4496,0.6,2.4,2,14.1,0.1,1.9,0.1,0.1,4.1,0,11.38100225,9.215635173,0.599475,,,,,,,,,,,,,,,,,,,,
Victor Oladipo,Orl,PG,22,72,35.7,74.4,25.6,0.143,320,0.819,838,11.63888889,0.464,5.400444444,248,3.444444444,0.339,1.167666667,15.08333333,6.568111111,0.43545488,0.527,17.9,4.2,6.6,4.1,19.3,1.67,0.26,7.6,3.64,20.92276744,16.94196937,0.474162063,,,,,,,,,,,,,,,,,,,,
Vince Carter,Mem,SG,38,66,16.5,34.4,20.2,0.091,57,0.789,174,2.636363636,0.379,0.999181818,232,3.515151515,0.297,1.044,6.151515152,2.043181818,0.332142857,0.445,5.8,2,7,1.2,11.1,0.65,0.21,5.8,0.681409091,11.57510106,9.372804441,0.417,,,,,,,,,,,,,,,,,,,,
Wayne Ellington,Lal,SG,27,65,25.8,53.7,18.7,0.072,64,0.813,374,5.753846154,0.439,2.525938462,243,3.738461538,0.37,1.383230769,9.492307692,3.909169231,0.411824959,0.504,10,3.2,6.9,1.6,10.2,0.51,0.03,5.8,0.800492308,13.28990251,10.76134512,0.484685575,,,,,,,,,,,,,,,,,,,,
Wesley Johnson,Lal,SF,27,76,29.5,61.5,16.6,0.105,112,0.804,432,5.684210526,0.451,2.563578947,259,3.407894737,0.351,1.196171053,9.092105263,3.75975,0.41351809,0.509,9.9,4.2,7.8,1.6,8.6,0.78,0.59,5.5,1.184842105,13.7289805,11.11688345,0.479298842,,,,,,,,,,,,,,,,,,,,
Wesley Matthews,Por,SG,28,60,33.7,70.3,20.1,0.09,145,0.752,307,5.116666667,0.534,2.7323,446,7.433333333,0.388,2.884133333,12.55,5.616433333,0.447524568,0.585,15.9,3.7,5.9,2.3,10.8,1.28,0.17,6.1,1.817333333,18.87840916,15.28657386,0.562430279,,,,,,,,,,,,,,,,,,,,
Will Barton,Por,SG,24,30,10,20.9,18.6,0.138,15,0.667,82,2.733333333,0.415,1.134333333,18,0.6,0.222,0.1332,3.333333333,1.267533333,0.38026,0.422,3,1.1,6.1,0.9,13.4,0.47,0.13,5.7,0.3335,9.77489791,7.915110726,0.40024,,,,,,,,,,,,,,,,,,,,
Will Barton,Den,SG,24,28,24.4,50.9,21.3,0.133,79,0.81,186,6.642857143,0.5,3.321428571,67,2.392857143,0.284,0.679571429,9.035714286,4.001,0.442798419,0.533,11,4.6,10.1,1.9,12.8,1.21,0.54,7.5,2.285357143,20.42427527,16.53832109,0.480403162,,,,,,,,,,,,,,,,,,,,
Will Bynum,Was,SG,32,7,9.5,19.9,28.2,0.196,4,0.5,22,3.142857143,0.455,1.43,9,1.285714286,0,0,4.428571429,1.43,0.322903226,0.336,3.1,0.9,5.1,2.6,42.4,0.14,0.14,8.2,0.285714286,10.65401616,8.626966579,0.322903226,,,,,,,,,,,,,,,,,,,,
Will Cherry,Cle,PG,23,8,8.7,18.1,17,0.156,6,0.5,10,1.25,0.3,0.375,9,1.125,0.222,0.24975,2.375,0.62475,0.263052632,0.347,1.9,0.6,4.1,1,16.3,0.75,0.13,4.8,0.375,7.546684186,6.110840389,0.315631579,,,,,,,,,,,,,,,,,,,,
Willie Green,Orl,SG,33,52,18.3,38.1,17.9,0.13,34,0.824,185,3.557692308,0.411,1.462211538,121,2.326923077,0.347,0.807442308,5.884615385,2.269653846,0.38569281,0.477,5.9,1.5,4.7,1.3,10.9,0.5,0.1,4.9,0.538769231,10.47567369,8.482555826,0.45429902,,,,,,,,,,,,,,,,,,,,
Wilson Chandler,Den,SF,27,78,31.7,66,20.4,0.096,142,0.775,569,7.294871795,0.49,3.574487179,406,5.205128205,0.342,1.780153846,12.5,5.354641026,0.428371282,0.523,13.9,6.1,10.4,1.7,8.9,0.74,0.37,6.6,1.410897436,17.19623821,13.92445535,0.499577436,,,,,,,,,,,,,,,,,,,,
Xavier Henry,Lal,SF,23,9,9.5,19.8,14,0.113,24,0.583,13,1.444444444,0.231,0.333666667,0,0,0,0,1.444444444,0.333666667,0.231,0.424,2.2,0.4,2.6,0.3,4.8,0.33,0,2.7,1.554666667,3.695841739,2.992665178,0.231,,,,,,,,,,,,,,,,,,,,
Zach LaVine,Min,PG,19,77,24.7,51.5,22.3,0.204,177,0.842,510,6.623376623,0.449,2.973896104,167,2.168831169,0.341,0.739571429,8.792207792,3.713467532,0.422358936,0.515,10.1,2.8,6.4,3.6,24,0.7,0.13,7.6,1.935506494,17.69271371,14.32647066,0.464417282,,,,,,,,,,,,,,,,,,,,
Zach Randolph,Mem,PF,33,71,32.4,67.6,24.7,0.129,298,0.765,912,12.84507042,0.49,6.294084507,20,0.281690141,0.35,0.098591549,13.12676056,6.392676056,0.486995708,0.538,16.1,10.5,18.5,2.2,11.4,0.97,0.2,8.9,3.21084507,23.4142977,18.95945723,0.490751073,,,,,,,,,,,,,,,,,,,,
Zaza Pachulia,Mil,C,30,73,23.7,49.4,19.4,0.182,160,0.788,526,7.205479452,0.456,3.28569863,3,0.04109589,0,0,7.246575342,3.28569863,0.453413989,0.506,8.3,6.8,16.5,2.4,16.2,1.1,0.29,8.7,1.727123288,19.84871061,16.07226426,0.453413989,,,,,,,,,,,,,,,,,,,,
Zoran Dragic,Mia,SG,25,10,6.2,12.9,21.6,0.179,2,0.5,13,1.3,0.462,0.6006,9,0.9,0.333,0.2997,2.2,0.9003,0.409227273,0.481,2.2,0.5,4.9,0.4,11.1,0.2,0,4.9,0.1,7.171110738,5.806724126,0.477340909,,,,,,,,,,,,,,,,,,,,
