NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%,,,,,,,,,,,,,,,,,,,,
Nene,Was,PF,32,67,25.3,52.7,22.2,0.152,202,0.604,596,8.895522388,0.513,4.563402985,5,0.074626866,0.2,0.014925373,8.970149254,4.578328358,0.510396007,0.534,11,5.1,11.5,1.8,11.9,0.99,0.33,7.4,1.821014925,19.42524857,15.72937076,0.511227953,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,Phi,PF,20,75,30.8,64.2,17.3,0.162,230,0.609,653,8.706666667,0.462,4.02248,0,0,0,0,8.706666667,4.02248,0.462,0.493,9.9,8.1,14.3,1.7,9.8,1.77,1.89,6.7,1.8676,19.50166908,15.79125138,0.462,,,,,,,,,,,,,,,,,,,,
Nick Calathes,Mem,SG,25,58,14.4,30.1,18.2,0.186,45,0.533,203,3.5,0.458,1.603,44,0.75862069,0.25,0.189655172,4.25862069,1.792655172,0.420947368,0.455,4.2,1.8,7.2,2.5,26.6,1.09,0.09,7.4,0.413534483,16.20890819,13.12497627,0.443214575,,,,,,,,,,,,,,,,,,,,
Nick Collison,Okc,PF,34,66,16.7,34.7,12.9,0.138,65,0.692,193,2.924242424,0.466,1.36269697,60,0.909090909,0.267,0.242727273,3.833333333,1.605424242,0.418806324,0.485,4.1,3.8,12.2,1.4,11.6,0.53,0.38,6.7,0.681515152,13.835644,11.20325299,0.450466403,,,,,,,,,,,,,,,,,,,,
Nick Johnson,Hou,SG,22,28,9.4,19.5,17.6,0.181,25,0.68,54,1.928571429,0.389,0.750214286,21,0.75,0.238,0.1785,2.678571429,0.928714286,0.34672,0.43,2.6,1.4,8.2,0.4,6.3,0.25,0.11,4.8,0.607142857,7.471862282,6.050254216,0.38004,,,,,,,,,,,,,,,,,,,,
Nick Young,Lal,SG,29,42,23.8,49.6,26.4,0.075,148,0.892,251,5.976190476,0.363,2.169357143,225,5.357142857,0.369,1.976785714,11.33333333,4.146142857,0.365836134,0.52,13.4,2.3,5.3,1,6.9,0.55,0.26,5.3,3.143238095,17.09397151,13.84164607,0.453047269,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,Por,SF,26,71,33.5,69.8,14.7,0.171,98,0.857,291,4.098591549,0.481,1.971422535,308,4.338028169,0.325,1.409859155,8.436619718,3.38128169,0.400786311,0.517,9.4,5.9,9.4,4.8,20.5,1.1,0.56,7.7,1.182901408,16.77545495,13.58373097,0.484342237,,,,,,,,,,,,,,,,,,,,
Nik Stauskas,Sac,SG,21,73,15.4,32.2,14.5,0.11,64,0.859,147,2.01369863,0.408,0.821589041,149,2.04109589,0.322,0.657232877,4.054794521,1.478821918,0.364709459,0.492,4.4,1.2,4.4,0.9,9,0.27,0.23,4.4,0.75309589,8.988265488,7.278144204,0.445753378,,,,,,,,,,,,,,,,,,,,
Nikola Mirotic,Chi,PF,23,82,20.2,42,23.1,0.106,284,0.803,311,3.792682927,0.495,1.877378049,313,3.817073171,0.316,1.206195122,7.609756098,3.083573171,0.405213141,0.556,10.2,4.9,13.3,1.2,9.7,0.66,0.66,7.8,2.781121951,22.00981126,17.82219055,0.484466346,,,,,,,,,,,,,,,,,,,,
Nikola Pekovic,Min,C,29,31,26.3,54.8,23.4,0.098,129,0.837,328,10.58064516,0.424,4.486193548,0,0,0,0,10.58064516,4.486193548,0.424,0.502,12.5,7.5,16.4,0.9,5.7,0.61,0.39,6.7,3.483,19.3461584,15.6653284,0.424,,,,,,,,,,,,,,,,,,,,
