NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Aaron Brooks,Min,PG,33,32,5.9,12.3,19.8,0.13,11,0.727,38,1.1875,0.447,0.5308125,31,0.96875,0.355,0.34390625,2.15625,0.87471875,0.486,0.508,2.3,0.5,5.2,0.6,15,0.19,0,6,0.24990625,10.03048148,7.522861111,103.1,100.4,0.34,0.485413043
Aaron Gordon,Orl,SF,22,58,32.9,68.6,24.7,0.1,225,0.698,523,9.017241379,0.497,4.481568966,342,5.896551724,0.336,1.981241379,14.9137931,6.462810345,0.5,0.53,17.6,7.9,13.2,2.3,11.7,1.02,0.78,8.3,2.707758621,22.42555806,16.81916854,103.6,106.2,1.84,0.49976763
Aaron Harrison,Dal,SG,23,9,25.9,54,15.5,0.038,17,0.765,26,2.888888889,0.385,1.112222222,43,4.777777778,0.209,0.998555556,7.666666667,2.110777778,0.341,0.392,6.7,2.7,5.7,1.2,6.7,1,0.22,4.3,1.445,7.823912941,5.867934705,87.9,100.8,0.33,0.340442029
Aaron Jackson,Hou,F,31,1,34.5,71.9,13.9,0.092,2,0.5,5,5,0.4,2,4,4,0.25,1,9,3,0.389,0.405,8,3,4.9,1,4,0,0,3.3,1,4.81964339,3.614732543,91.3,101.6,1,0.388888889
Abdel Nader,Bos,SF,24,48,10.9,22.6,17.1,0.17,39,0.59,84,1.75,0.321,0.56175,65,1.354166667,0.354,0.479375,3.104166667,1.041125,0.413,0.439,3,1.5,7.4,0.5,7.2,0.31,0.21,4.8,0.479375,8.176614851,6.132461138,83.1,99.1,0.71,0.412610738
Adreian Payne,Orl,PF,26,5,8.5,17.8,15.1,0.137,6,0.833,7,1.4,0.714,0.9996,3,0.6,0.667,0.4002,2,1.3998,0.8,0.831,4.2,1.8,11.6,0,0,0.4,0,0,0.9996,0,0,140.6,97.1,0.4,0.79995
Al Horford,Bos,C,31,72,31.6,65.9,18.4,0.141,120,0.783,527,7.319444444,0.514,3.762194444,226,3.138888889,0.429,1.346583333,10.45833333,5.108777778,0.553,0.575,12.9,7.4,12.7,4.7,23.6,0.6,1.08,9.7,1.305,22.84797413,17.1359806,115.4,100.4,1.83,0.552867198
Al Jefferson,Ind,C,33,36,13.4,28,22.6,0.086,36,0.833,205,5.694444444,0.541,3.080694444,3,0.083333333,0,0,5.777777778,3.080694444,0.534,0.563,7,4,16.7,0.8,10.1,0.44,0.64,8.4,0.833,24.32969072,18.24726804,112.9,93.9,0.58,0.533197115
Alan Williams,Pho,PF,25,5,14.1,29.3,17.5,0.242,9,0.667,18,3.6,0.389,1.4004,0,0,0,0,3.6,1.4004,0.389,0.455,4,4.4,16.7,1.6,16.2,1,0.2,8.6,1.2006,18.3975185,13.79813888,86.2,90.5,1.4,0.389
Alec Burks,Uta,SG,26,64,16.5,34.5,22.5,0.114,124,0.863,272,4.25,0.452,1.921,142,2.21875,0.331,0.73440625,6.46875,2.65540625,0.467,0.527,7.7,3,10.3,1,10,0.58,0.13,6.9,1.6720625,17.74540735,13.30905551,102,99.2,0.94,0.467263285
Alec Peters,Pho,PF,22,20,11.2,23.4,15.6,0.049,10,0.8,16,0.8,0.625,0.5,58,2.9,0.31,0.899,3.7,1.399,0.5,0.523,4.1,1.9,8.8,0.6,7.9,0.1,0.1,6,0.4,11.65067646,8.738007344,111.4,111.8,0.2,0.499594595
Alex Abrines,Okc,SG,24,75,15.1,31.5,12.7,0.074,46,0.848,70,0.933333333,0.443,0.413466667,221,2.946666667,0.38,1.119733333,3.88,1.5332,0.54,0.567,4.7,1.5,5.6,0.4,3.4,0.51,0.11,3.7,0.520106667,10.789603,8.092202249,115.7,100.9,0.33,0.539450172
Alex Caruso,Lal,SG,23,37,15.2,31.6,12.9,0.245,30,0.7,73,1.972972973,0.507,1.000297297,43,1.162162162,0.302,0.350972973,3.135135135,1.35127027,0.487,0.519,3.6,1.8,6.2,2,17.8,0.65,0.24,6.2,0.567567568,13.46985016,10.10238762,98,102.6,1.14,0.486982759
Alex Len,Pho,C,24,69,20.2,42.1,17,0.14,231,0.684,375,5.434782609,0.568,3.086956522,3,0.043478261,0.333,0.014478261,5.47826087,3.101434783,0.567,0.612,8.5,7.5,19.8,1.2,9.1,0.39,0.88,8.4,2.289913043,24.29783161,18.22337371,121.2,101.9,1.13,0.567456349
Alex Poythress,Ind,SF,24,25,4.2,8.7,12,0.071,0,0,15,0.6,0.467,0.2802,11,0.44,0.364,0.16016,1.04,0.44036,0.5,0.5,1,0.7,9.2,0.1,2.6,0.12,0.04,3.9,0,3.170636799,2.377977599,108,96.4,0.08,0.500423077
Al-Farouq Aminu,Por,SF,27,69,30,62.6,14.8,0.113,80,0.738,243,3.52173913,0.432,1.521391304,339,4.913043478,0.369,1.812913043,8.434782609,3.334304348,0.503,0.522,9.3,7.6,13.8,1.2,5.8,1.14,0.58,5.9,0.855652174,15.85131898,11.88848924,105.2,100.5,1.14,0.502770619
Alfonzo McKinnie,Tor,F,25,14,3.8,7.9,15.9,0.155,3,0.667,6,0.428571429,0.833,0.357,9,0.642857143,0.333,0.214071429,1.071428571,0.571071429,0.633,0.643,1.5,0.5,7.3,0.1,2.7,0.07,0.07,4.4,0.142928571,8.094568481,6.070926361,,,0.21,0.632900001
Allen Crabbe,Bro,SG,25,75,29.3,61,19,0.08,135,0.852,295,3.933333333,0.461,1.813266667,532,7.093333333,0.378,2.68128,11.02666667,4.494546667,0.529,0.558,13.2,4.3,7.8,1.6,8.4,0.63,0.48,6.1,1.5336,17.22867391,12.92150543,107.9,106.6,1.03,0.529188633
Amir Johnson,Phi,PF,30,74,15.8,33,12.8,0.156,85,0.612,228,3.081081081,0.57,1.756216216,32,0.432432432,0.313,0.135351351,3.513513514,1.891567568,0.558,0.575,4.6,4.5,15.2,1.6,13.9,0.61,0.59,8.1,0.702972973,19.45984108,14.59488081,120.2,90.2,0.74,0.557630769
Andre Drummond,Det,C,24,78,33.7,70.1,21.2,0.159,395,0.605,870,11.15384615,0.536,5.978461538,11,0.141025641,0,0,11.29487179,5.978461538,0.529,0.555,15,16,26.2,3,14.3,1.46,1.63,10.6,3.063782051,29.0923106,21.81923295,112.8,94.2,2.56,0.529307605
Andre Iguodala,Gol,SF,34,64,25.4,52.8,11.5,0.158,87,0.632,203,3.171875,0.567,1.798453125,117,1.828125,0.282,0.51553125,5,2.313984375,0.514,0.536,6,3.8,8.5,3.3,16.2,0.84,0.59,6.6,0.859125,15.08895719,11.31671789,113,106.5,1.05,0.51435
Andre Ingram,Lal,G,32,2,32.1,66.8,14.1,0.141,3,1,8,4,0.375,1.5,9,4.5,0.556,2.502,8.5,4.002,0.618,0.655,12,3,5,3.5,15.3,1.5,1.5,6.2,1.5,20.56747074,15.42560306,123.9,107.4,1.5,0.618
Andre Roberson,Okc,SF,26,39,26.6,55.4,8.6,0.144,38,0.316,126,3.230769231,0.627,2.025692308,36,0.923076923,0.222,0.204923077,4.153846154,2.230615385,0.562,0.543,5,4.7,9.9,1.2,6,1.15,0.9,4.6,0.307897436,12.64618688,9.484640163,113.4,102,0.77,0.561666667
Andrew Bogut,Lal,C,33,23,9.4,19.6,8.8,0.423,2,1,25,1.086956522,0.68,0.739130435,0,0,0,0,1.086956522,0.739130435,0.68,0.696,1.6,3.4,19.2,0.7,9.1,0.17,0.57,6.6,0.086956522,16.03557532,12.02668149,105.9,90.1,0.83,0.68
Andrew Harrison,Mem,SG,23,56,23.7,49.3,19.6,0.14,159,0.78,287,5.125,0.467,2.393375,142,2.535714286,0.331,0.839321429,7.660714286,3.232696429,0.477,0.534,9.5,2.3,5.7,3.2,21.2,0.68,0.46,7,2.214642857,17.75574359,13.31680769,106.7,105.6,1.45,0.476764569
Andrew White III,Atl,SF,24,15,13.9,29,17.3,0.097,4,0.25,24,1.6,0.292,0.4672,49,3.266666667,0.367,1.198866667,4.866666667,1.666066667,0.466,0.461,4.6,2.3,9.1,0.4,4.3,0.2,0.07,4.7,0.066666667,8.769327757,6.576995818,88,108.8,0.53,0.465513699
Andrew Wiggins,Min,SF,22,82,36.3,75.7,23.4,0.088,314,0.643,962,11.73170732,0.475,5.572560976,338,4.12195122,0.331,1.364365854,15.85365854,6.936926829,0.481,0.505,17.7,4.4,6.9,2,8.2,1.11,0.62,5.9,2.462219512,17.13013781,12.84760336,101.2,109.5,1.68,0.48059
Ante Zizic,Cle,PF,21,32,6.7,14,18.7,0.121,29,0.724,67,2.09375,0.731,1.53053125,0,0,0,0,2.09375,1.53053125,0.731,0.746,3.7,1.9,15.7,0.2,3.8,0.06,0.41,6.7,0.656125,25.1701334,18.87760005,137.8,99.9,0.34,0.731
Anthony Brown,Min,SF,25,1,3.7,7.7,12,0,0,0,0,0,0,0,1,1,1,1,1,1,1.5,1.5,3,0,0,1,46.7,0,0,0,0,0,0,,,0,1.5
Anthony Davis,Nor,PF,24,75,36.4,75.8,30,0.086,598,0.828,1300,17.33333333,0.558,9.672,162,2.16,0.34,0.7344,19.49333333,10.4064,0.552,0.612,28.1,11.1,16.5,2.3,10.8,1.53,2.57,9.8,6.60192,36.68680018,27.51510013,119.3,102.7,2.16,0.552681259
Anthony Tolliver,Det,PF,32,79,22.2,46.3,14.8,0.099,131,0.802,107,1.35443038,0.561,0.759835443,365,4.620253165,0.436,2.01443038,5.974683544,2.774265823,0.632,0.663,8.9,3.1,7.6,1.1,7.5,0.41,0.27,5.6,1.329898734,17.01330546,12.75997909,125.9,103.2,0.73,0.632917373
Antonio Blakeney,Chi,SG,21,19,16.5,34.4,23.7,0.064,39,0.769,91,4.789473684,0.418,2.002,52,2.736842105,0.288,0.788210526,7.526315789,2.790210526,0.423,0.471,7.9,1.7,5.6,1.1,10.1,0.37,0.05,5.9,1.578473684,13.45029706,10.08772279,96.4,109.6,0.58,0.423090909
Antonius Cleveland,Dal,SG,23,13,6.2,13,10,0.113,4,0.5,13,1,0.308,0.308,1,0.076923077,0,0,1.076923077,0.308,0.286,0.317,0.8,0.8,6.9,0.2,3.3,0.46,0.31,3.3,0.153846154,4.080129288,3.060096966,70.7,95.6,0.15,0.286
Antonius Cleveland,Atl,SG,23,4,10.4,21.6,13.6,0.388,2,1,4,1,0.25,0.25,3,0.75,1,0.75,1.75,1,0.786,0.825,3.3,1,5.4,0,0,0.25,0.25,0,0.5,0,0,90.7,84.6,1.25,0.785714286
Aron Baynes,Bos,C,31,81,18.3,38.2,16.9,0.143,78,0.756,425,5.24691358,0.487,2.555246914,21,0.259259259,0.143,0.037074074,5.50617284,2.592320988,0.474,0.502,6,5.3,16,1.1,9.6,0.27,0.63,7.1,0.728,16.45327559,12.33995669,103.2,91.8,0.99,0.474169283
Arron Afflalo,Orl,SG,32,53,12.9,26.8,12.5,0.108,26,0.846,92,1.735849057,0.413,0.71690566,70,1.320754717,0.386,0.509811321,3.056603774,1.226716981,0.485,0.516,3.4,1.2,5.3,0.6,6.2,0.08,0.17,4.2,0.415018868,7.782584905,5.836938679,98.8,108.1,0.4,0.484728395
Austin Rivers,Lac,SG,25,61,33.7,70.2,20.7,0.111,159,0.642,445,7.295081967,0.461,3.363032787,360,5.901639344,0.378,2.230819672,13.19672131,5.593852459,0.508,0.526,15.1,2.4,3.9,4,17.5,1.21,0.26,6.2,1.673409836,17.51450598,13.13587948,105.5,107.7,1.79,0.508403727
Avery Bradley,Det,SG,27,40,31.7,66.1,24.4,0.133,80,0.763,376,9.4,0.423,3.9762,194,4.85,0.381,1.84785,14.25,5.82405,0.474,0.497,15,2.4,4.1,2.1,10.5,1.15,0.18,5.3,1.526,15.38571991,11.53928993,92.4,105.5,2.33,0.473542105
Avery Bradley,Lac,SG,27,6,27.5,57.3,16.7,0.125,2,1,46,7.666666667,0.543,4.163,9,1.5,0.111,0.1665,9.166666667,4.3295,0.482,0.492,9.2,3.7,7.3,1.8,9.8,0.83,0.17,5.7,0.333333333,13.38033992,10.03525494,95.6,106.5,1.33,0.481390909
Bam Adebayo,Mia,PF,20,69,19.8,41.3,15.9,0.136,179,0.721,333,4.826086957,0.523,2.524043478,7,0.101449275,0,0,4.927536232,2.524043478,0.512,0.57,6.9,5.5,15.6,1.5,11,0.46,0.59,7.8,1.87042029,19.40298914,14.55224186,116.7,98.3,0.96,0.512232353
Ben McLemore,Mem,SG,24,56,19.5,40.6,19,0.132,64,0.828,214,3.821428571,0.477,1.822821429,159,2.839285714,0.346,0.982392857,6.660714286,2.805214286,0.495,0.526,7.5,2.5,7.4,0.9,7.5,0.68,0.27,5.3,0.946285714,14.35655521,10.76741641,98.9,101.9,1.09,0.494903485
Ben Moore,Ind,PF,22,2,4.7,9.7,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0.5,6.1,0.5,12.7,0,0,0,0,0,0,,66.8,0,#DIV/0!
Ben Simmons,Phi,PG,21,81,33.7,70.3,22.3,0.195,341,0.56,987,12.18518519,0.551,6.714037037,11,0.135802469,0,0,12.32098765,6.714037037,0.545,0.557,15.8,8.1,13,8.2,37.4,1.73,0.86,12.1,2.357530864,29.3498738,22.01240535,110.5,98.7,3.43,0.544926854
Bismack Biyombo,Orl,C,25,82,18.2,38,14.9,0.166,157,0.65,351,4.280487805,0.521,2.230134146,1,0.012195122,0,0,4.292682927,2.230134146,0.52,0.556,5.7,5.7,17.2,0.8,6.5,0.26,1.16,6.5,1.244512195,18.43840934,13.828807,108.7,101.2,1.02,0.519519886
Blake Griffin,Lac,PF,28,33,34.5,71.9,29.3,0.128,219,0.785,391,11.84848485,0.488,5.782060606,187,5.666666667,0.342,1.938,17.51515152,7.720060606,0.497,0.553,22.6,7.9,12.6,5.4,25.6,0.91,0.27,11.5,5.209545455,28.54735123,21.41051342,110.1,105,3,0.496088235
Blake Griffin,Det,PF,28,25,33.2,69.3,28.4,0.124,111,0.784,283,11.32,0.473,5.35436,135,5.4,0.348,1.8792,16.72,7.23356,0.489,0.531,19.8,6.6,11,6.2,31.5,0.44,0.36,11.2,3.48096,25.8197118,19.36478385,108.2,102.9,2.64,0.488825359
Boban Marjanovic,Det,C,29,19,9,18.8,31.2,0.182,45,0.8,79,4.157894737,0.519,2.157947368,0,0,0,0,4.157894737,2.157947368,0.519,0.597,6.2,3,18.4,0.7,14.3,0.21,0.32,10.5,1.894736842,29.66268533,22.247014,107.1,90,1.16,0.519
Boban Marjanovic,Lac,C,29,20,8.3,17.3,27.5,0.132,52,0.788,69,3.45,0.551,1.90095,0,0,0,0,3.45,1.90095,0.551,0.637,5.9,4.4,28.7,0.4,7.9,0.3,0.25,10.5,2.0488,35.11255914,26.33441935,126.2,93.1,0.7,0.551
Bobby Brown,Hou,PG,33,20,5.7,12,26.1,0.133,2,0.5,18,0.9,0.444,0.3996,40,2,0.275,0.55,2.9,0.9496,0.422,0.425,2.5,0.4,3.4,0.6,15,0.2,0,5.9,0.05,6.989946447,5.242459835,82.8,105.3,0.45,0.422275862
Bobby Portis,Chi,PF,22,73,22.5,46.9,26,0.105,156,0.769,588,8.054794521,0.514,4.140164384,223,3.054794521,0.359,1.096671233,11.10958904,5.236835616,0.52,0.548,13.2,6.8,16.2,1.7,13.2,0.67,0.32,9.5,1.643342466,25.29717298,18.97287973,108.2,104.3,1.41,0.520736745
Bogdan Bogdanovic,Sac,SG,25,78,27.9,58.1,19.6,0.132,119,0.84,443,5.679487179,0.485,2.754551282,329,4.217948718,0.392,1.653435897,9.897435897,4.407987179,0.529,0.556,11.8,2.9,5.8,3.3,18.3,0.92,0.21,6.9,1.281538462,18.14852811,13.61139608,107.4,107.9,1.6,0.528895078
Bojan Bogdanovic,Ind,SF,28,80,30.8,64.2,18.9,0.1,205,0.868,466,5.825,0.534,3.11055,386,4.825,0.402,1.93965,10.65,5.0502,0.565,0.605,14.3,3.4,6.1,1.5,7.1,0.69,0.1,5.4,2.22425,17.72733031,13.29549774,114.7,108.2,1.31,0.565260563
Bradley Beal,Was,SG,24,82,36.3,75.6,27.6,0.115,369,0.791,954,11.63414634,0.507,5.898512195,530,6.463414634,0.375,2.423780488,18.09756098,8.322292683,0.527,0.564,22.6,4.4,6.9,4.5,21,1.18,0.44,8.4,3.5595,24.95631632,18.71723724,109.4,107.6,2.61,0.526821428
Brandan Wright,Mem,PF,30,27,13.5,28.2,14.9,0.066,33,0.636,99,3.666666667,0.576,2.112,0,0,0,0,3.666666667,2.112,0.576,0.595,5,3.4,14.7,0.5,5.8,0.48,0.93,6,0.777333333,19.88989215,14.91741911,124,105.2,0.3,0.576
Brandan Wright,Hou,PF,30,1,15.3,31.9,8.7,0,0,0,3,3,0.667,2.001,0,0,0,0,3,2.001,0.667,0.667,4,2,7.4,0,0,0,1,0,0,0,0,144.7,92.2,0,0.667
Brandon Ingram,Lal,SF,20,59,33.5,69.7,22.2,0.144,282,0.681,656,11.11864407,0.483,5.370305085,105,1.779661017,0.39,0.694067797,12.89830508,6.064372881,0.497,0.536,16.1,5.3,8.5,3.9,17.7,0.76,0.73,8.3,3.254949153,20.89090585,15.66817938,103.6,103.7,2.53,0.497073588
Brandon Jennings,Mil,PG,28,14,14.7,30.5,20.8,0.191,10,1,39,2.785714286,0.462,1.287,33,2.357142857,0.273,0.6435,5.142857143,1.9305,0.438,0.478,5.2,2.2,8.9,3.1,31.1,0.43,0.29,8.9,0.714285714,17.90212496,13.42659372,98.9,109.1,1.29,0.4379375
Brandon Paul,San,SG,26,64,9,18.7,13.6,0.166,43,0.512,73,1.140625,0.548,0.6250625,54,0.84375,0.278,0.2345625,1.984375,0.859625,0.492,0.504,2.3,1.1,6.6,0.6,9,0.39,0.11,5.1,0.344,9.597352403,7.198014302,93.8,97.4,0.45,0.492299213
Briante Weber,Hou,PG,25,13,9.1,18.9,11.5,0.228,4,1,13,1,0.385,0.385,9,0.692307692,0.444,0.307384615,1.692307692,0.692384615,0.5,0.547,2,1.4,8.6,1,15.2,0.77,0.23,6.2,0.307692308,14.47378191,10.85533643,106.8,89.9,0.54,0.499954545
Briante Weber,Mem,PG,25,5,23.8,49.5,12,0.253,6,0.667,19,3.8,0.526,1.9988,2,0.4,0,0,4.2,1.9988,0.476,0.508,4.8,3.4,8.3,1.8,11.1,1.6,0.4,5.2,0.8004,13.43945284,10.07958963,92.8,104.8,1.6,0.475904762
Brice Johnson,Lac,F,23,9,4.3,8.9,17.9,0.252,2,1,10,1.111111111,0.7,0.777777778,1,0.111111111,0,0,1.222222222,0.777777778,0.636,0.673,1.8,1.4,18.6,0.1,4,0.67,0.22,5.9,0.222222222,24.14667113,18.11000335,102.6,82.5,0.44,0.636363637
Brice Johnson,Mem,F,23,9,6.7,13.9,25,0.03,3,0.333,31,3.444444444,0.419,1.443222222,0,0,0,0,3.444444444,1.443222222,0.419,0.418,3,2,17.4,0.1,3,0.33,0.44,5,0.111,14.00142212,10.50106659,93.6,101.3,0.11,0.419
Brook Lopez,Lal,C,29,74,23.4,48.8,23.5,0.102,158,0.703,468,6.324324324,0.549,3.472054054,325,4.391891892,0.345,1.515202703,10.71621622,4.987256757,0.536,0.557,13,4,9,1.7,11.6,0.39,1.32,7.6,1.501,22.49398844,16.87049133,108,100.8,1.32,0.536090164
Bruno Caboclo,Tor,SF,22,2,3.4,7,13.1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0.5,8.4,0.5,17.5,0.5,0,0,0,0,0,,,0,0
Bruno Caboclo,Sac,SF,22,10,10,20.8,16.1,0.112,6,0.833,14,1.4,0.429,0.6006,15,1.5,0.2,0.3,2.9,0.9006,0.362,0.411,2.6,2.1,12,0.3,4.2,0.2,0.4,4.7,0.4998,8.394301323,6.295725992,89.4,108.2,0.4,0.362275862
Bryn Forbes,San,SG,24,80,19,39.5,16.7,0.065,72,0.667,269,3.3625,0.446,1.499675,228,2.85,0.39,1.1115,6.2125,2.611175,0.51,0.525,6.9,1.4,4,1,7.8,0.35,0.03,4.5,0.6003,11.20138061,8.401035457,105.7,103.4,0.46,0.5097666
Buddy Hield,Sac,SG,24,80,25.3,52.7,24.3,0.113,81,0.877,525,6.5625,0.457,2.9990625,408,5.1,0.431,2.1981,11.6625,5.1971625,0.54,0.557,13.5,3.8,8.6,1.9,12.8,1.06,0.28,7.3,0.8879625,20.95382185,15.71536639,104.9,106.9,1.55,0.539868167
C.J. Williams,Lac,SG,27,38,18.6,38.7,13.7,0.089,16,0.813,119,3.131578947,0.546,1.709842105,78,2.052631579,0.282,0.578842105,5.184210526,2.288684211,0.497,0.512,5.5,1.5,4.4,1.1,8.5,0.82,0.34,4.5,0.342315789,11.86912979,8.901847342,104.6,105.5,0.53,0.497299492
Caleb Swanigan,Por,PF,20,27,7,14.6,19.9,0.209,18,0.667,52,1.925925926,0.442,0.851259259,8,0.296296296,0.125,0.037037037,2.222222222,0.888296296,0.408,0.449,2.3,2,15.5,0.5,10.7,0.19,0.11,7.5,0.444666667,11.9858012,8.989350897,88.1,86.9,0.67,0.408066667
Cameron Payne,Chi,PG,23,25,23.3,48.5,19.3,0.14,16,0.75,124,4.96,0.419,2.07824,91,3.64,0.385,1.4014,8.6,3.47964,0.486,0.498,8.8,2.8,6.4,4.5,30,1.04,0.36,8.2,0.48,19.05959363,14.29469522,104.8,106.4,1.44,0.486086047
Caris LeVert,Bro,SG,23,71,26.2,54.7,22.5,0.158,187,0.711,490,6.901408451,0.48,3.312676056,245,3.450704225,0.347,1.197394366,10.35211268,4.510070423,0.493,0.525,12.1,3.7,7.4,4.2,26,1.15,0.31,8.7,1.872633803,21.40558637,16.05418978,102.9,104.9,2.15,0.4935
Carmelo Anthony,Okc,SF,33,78,32.1,66.8,23.2,0.073,193,0.767,695,8.91025641,0.436,3.884871795,474,6.076923077,0.357,2.169461538,14.98717949,6.054333333,0.476,0.503,16.2,5.8,10,1.3,6.5,0.6,0.63,6.2,1.897833333,17.34294328,13.00720746,103.6,102.9,1.27,0.476344739
Cedi Osman,Cle,SF,22,61,11,23,15.7,0.134,46,0.565,99,1.62295082,0.586,0.95104918,87,1.426229508,0.368,0.524852459,3.049180328,1.475901639,0.57,0.577,3.9,2,10,0.7,8.6,0.36,0.05,6.4,0.426065574,14.61500562,10.96125422,107.9,101.7,0.52,0.570096774
Chandler Parsons,Mem,SF,29,36,19.2,40,18.2,0.125,27,0.63,113,3.138888889,0.504,1.582,121,3.361111111,0.421,1.415027778,6.5,2.997027778,0.571,0.578,7.9,2.5,7.5,1.9,16.4,0.5,0.31,7,0.4725,17.49062012,13.11796509,110.1,108.1,0.97,0.569929487
Channing Frye,Cle,C,34,44,12.4,25.8,15.6,0.088,15,0.933,79,1.795454545,0.684,1.228090909,90,2.045454545,0.333,0.681136364,3.840909091,1.909227273,0.586,0.604,4.8,2.5,11.3,0.6,7.5,0.39,0.27,6.2,0.318068182,17.02283172,12.76712379,115.2,102.6,0.39,0.585745562
Channing Frye,Lal,C,34,9,16.7,34.8,13.8,0.082,4,0.75,18,2,0.611,1.222,25,2.777777778,0.36,1,4.777777778,2.222,0.57,0.581,5.8,2.8,8.9,1.1,9.4,0.11,0.22,6.3,0.333333333,14.13213317,10.59909988,115.2,102.2,0.44,0.56972093
Charles Cooke,Nor,SG,23,13,2.9,6.1,18,0.063,2,0.5,6,0.461538462,0.167,0.077076923,8,0.615384615,0.125,0.076923077,1.076923077,0.154,0.179,0.202,0.5,0.2,2.8,0.1,3.2,0.08,0,3,0.076923077,-14.46613139,-10.84959854,,,0.08,0.178714286
Cheick Diallo,Nor,PF,21,52,11.2,23.3,17.3,0.116,66,0.758,176,3.384615385,0.58,1.963076923,0,0,0,0,3.384615385,1.963076923,0.58,0.619,4.9,4,19.6,0.4,4.7,0.21,0.4,7.1,0.962076923,22.08321705,16.56241279,118.8,94,0.52,0.58
Chinanu Onuaku,Hou,PF,21,1,21.6,45,16.3,0.375,0,0,5,5,0.4,2,0,0,0,0,5,2,0.4,0.4,4,4,10.4,1,6.5,0,0,4.7,0,6.612932427,4.95969932,62.6,91.7,3,0.4
Chris Boucher,Gol,PF,25,1,1.3,2.7,33.8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,43,0,0,0,0,0,0,0,0,,,0,0
Chris McCullough,Was,PF,22,19,4.7,9.8,24.7,0.04,14,0.643,34,1.789473684,0.5,0.894736842,8,0.421052632,0.125,0.052631579,2.210526316,0.947368421,0.44,0.478,2.4,1.3,15.8,0.2,7.1,0,0.26,7.3,0.473789474,13.30572984,9.97929738,104.5,102.8,0.11,0.44047619
Chris Paul,Hou,PG,32,58,31.8,66.3,24.5,0.125,221,0.919,419,7.224137931,0.532,3.843241379,379,6.534482759,0.38,2.483103448,13.75862069,6.326344828,0.55,0.604,18.6,5.4,9.5,7.9,40.9,1.67,0.22,11.6,3.501706897,31.37893126,23.53419845,126.1,99.6,2.21,0.550047619
CJ McCollum,Por,SG,26,81,36.1,75.2,26.5,0.086,250,0.836,1029,12.7037037,0.465,5.907222222,476,5.87654321,0.397,2.332987654,18.58024691,8.240209877,0.506,0.536,21.4,4,6,3.4,15.8,0.95,0.43,7.3,2.580246914,21.461683,16.09626225,108.4,105.4,1.86,0.506274419
CJ Miles,Tor,SF,30,70,19.1,39.8,22.3,0.057,97,0.835,145,2.071428571,0.434,0.899,454,6.485714286,0.361,2.341342857,8.557142857,3.240342857,0.516,0.545,10,2.2,6.4,0.8,6,0.53,0.3,5.4,1.157071429,16.88674611,12.66505958,108.7,100.7,0.56,0.515477462
Clint Capela,Hou,C,23,74,27.5,57.3,19.4,0.115,257,0.56,675,9.121621622,0.653,5.956418919,1,0.013513514,0,0,9.135135135,5.956418919,0.652,0.65,13.9,10.8,22.2,0.9,5.7,0.78,1.86,7.5,1.944864865,29.14418408,21.85813806,126.6,96.4,1.39,0.652034024
Cody Zeller,Cha,PF,25,33,19,39.6,15.7,0.146,85,0.718,153,4.636363636,0.542,2.512909091,3,0.090909091,0.667,0.060636364,4.727272727,2.573545455,0.551,0.602,7.1,5.4,15.3,0.9,7.3,0.42,0.64,6.9,1.849393939,19.83689086,14.87766815,119.6,97.2,1,0.550817308
Cole Aldrich,Min,C,29,21,2.3,4.8,16.9,0.054,6,0.333,15,0.714285714,0.333,0.237857143,0,0,0,0,0.714285714,0.237857143,0.333,0.34,0.6,0.7,17.8,0.1,8.2,0.1,0.05,6,0.095142857,-2.913695072,-2.185271304,,,0.05,0.333
Corey Brewer,Lal,SF,31,54,12.9,26.8,14.2,0.163,51,0.667,129,2.388888889,0.543,1.297166667,43,0.796296296,0.186,0.148111111,3.185185185,1.445277778,0.477,0.509,3.7,1.7,7.1,0.8,8.1,0.76,0.15,5.3,0.629944444,12.69734767,9.523010751,97,98.4,0.7,0.477
Corey Brewer,Okc,SF,31,18,28.6,59.5,14.3,0.064,39,0.795,77,4.277777778,0.532,2.275777778,67,3.722222222,0.343,1.276722222,8,3.5525,0.524,0.565,10.1,3.4,6.6,1.3,6.7,2.11,0.33,5,1.7225,16.81864658,12.61398493,120.3,98.4,0.61,0.523857639
Cory Joseph,Ind,SG,26,82,27,56.1,14.8,0.12,94,0.745,413,5.036585366,0.458,2.306756098,190,2.317073171,0.353,0.817926829,7.353658537,3.124682927,0.48,0.504,7.9,3.2,6.8,3.2,16.1,0.98,0.23,6.4,0.85402439,14.38681056,10.79010792,105.8,105.9,1.07,0.480529022
Courtney Lee,Nyk,SG,32,76,30.4,63.3,16.9,0.094,124,0.919,477,6.276315789,0.482,3.025184211,278,3.657894737,0.406,1.485105263,9.934210526,4.510289474,0.529,0.564,12,2.9,5.4,2.4,11.3,1.05,0.22,5.8,1.499421053,16.36048035,12.27036027,112.1,111.2,1.11,0.528762914
