NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,ORTG,DRTG,TOPG,eFG%
Timofey Mozgov,Bro,C,31,31,11.6,24.2,16.8,0.237,30,0.767,75,2.419354839,0.64,1.548387097,18,0.580645161,0.222,0.128903226,3,1.677290323,0.581,0.617,4.2,3.2,14.5,0.4,4.7,0.16,0.42,6,0.742258065,17.62853444,13.22140083,102.9,102.2,1.06,0.580580645
Timothe Luwawu-Cabarrot,Phi,SF,22,52,15.5,32.3,17.5,0.115,58,0.793,109,2.096153846,0.431,0.903442308,158,3.038461538,0.335,1.017884615,5.134615385,1.921326923,0.474,0.511,5.8,1.4,4.8,1,9.3,0.23,0.1,5.2,0.8845,11.30283922,8.477129417,101,99.6,0.73,0.473310861
TJ Leaf,Ind,PF,20,53,8.7,18.1,14.9,0.065,16,0.625,94,1.773584906,0.489,0.867283019,42,0.79245283,0.429,0.339962264,2.566037736,1.207245283,0.537,0.545,2.9,1.5,10.1,0.2,2.8,0.09,0.08,4.4,0.188679245,10.00420944,7.503157076,112.9,103.2,0.19,0.536713235
TJ Warren,Pho,SF,24,65,33,68.6,25,0.067,255,0.757,973,14.96923077,0.523,7.828907692,90,1.384615385,0.222,0.307384615,16.35384615,8.136292308,0.507,0.541,19.6,5.1,8.3,1.3,7.2,1,0.63,6.1,2.969769231,21.68626161,16.2646962,108.8,110.1,1.31,0.506913453
Tobias Harris,Det,PF,25,48,32.6,67.9,23.2,0.062,136,0.846,433,9.020833333,0.478,4.311958333,276,5.75,0.409,2.35175,14.77083333,6.663708333,0.531,0.564,18.1,5.1,8.6,2,9.9,0.71,0.31,7,2.397,20.83263097,15.62447322,113,105,1.06,0.530747532
Tobias Harris,Lac,PF,25,32,34.5,71.9,23.5,0.088,80,0.8,343,10.71875,0.501,5.37009375,169,5.28125,0.414,2.1864375,16,7.55653125,0.541,0.565,19.3,6,9.5,3.1,14.3,1.16,0.63,8.2,2,23.46780907,17.6008568,111.1,105.9,1.66,0.540609375
Tomas Satoransky,Was,SG,26,73,22.5,46.9,13.7,0.163,96,0.781,283,3.876712329,0.544,2.108931507,101,1.383561644,0.465,0.643356164,5.260273973,2.752287671,0.585,0.615,7.2,3.2,8,3.9,24.8,0.7,0.21,8,1.027068493,19.18960672,14.39220504,124.5,104.9,1.14,0.584373698
Tony Allen,Nor,SG,36,22,12.4,25.8,18.9,0.159,21,0.524,79,3.590909091,0.506,1.817,12,0.545454545,0.333,0.181636364,4.136363636,1.998636364,0.505,0.514,4.7,2.1,9.3,0.4,4.6,0.5,0.14,5.1,0.500181818,13.64877295,10.23657971,95.2,93.9,0.86,0.505142857
Tony Bradley,Uta,C,20,9,3.2,6.7,18.4,0,2,1,10,1.111111111,0.3,0.333333333,1,0.111111111,0,0,1.222222222,0.333333333,0.273,0.337,0.9,1.2,21.5,0.1,5,0,0,6,0.222222222,-0.304954861,-0.228716146,,,0,0.272727273
Tony Parker,San,PG,35,55,19.5,40.6,20.5,0.139,78,0.705,351,6.381818182,0.479,3.056890909,37,0.672727273,0.27,0.181636364,7.054545455,3.238527273,0.472,0.498,7.7,1.7,4.9,3.5,28.2,0.51,0.02,7.3,0.999818182,16.87395511,12.65546633,102.7,104.9,1.24,0.471943299
Tony Snell,Mil,SF,26,75,27.4,57,10.6,0.075,48,0.792,157,2.093333333,0.49,1.025733333,268,3.573333333,0.403,1.440053333,5.666666667,2.465786667,0.562,0.578,6.9,1.9,4,1.3,6.5,0.63,0.37,3.8,0.50688,10.27990133,7.709925997,113.4,111,0.48,0.562202353
Torrey Craig,Den,SG,27,39,16.7,34.7,11.6,0.116,35,0.629,79,2.025641026,0.57,1.154615385,58,1.487179487,0.293,0.43574359,3.512820513,1.590358974,0.515,0.535,4.2,3.3,11,0.6,5.2,0.31,0.38,4.9,0.564487179,11.63125962,8.723444716,111,104.6,0.51,0.514751825
Travis Wear,Lal,SF,27,17,13.4,27.9,15.2,0.074,8,1,25,1.470588235,0.32,0.470588235,47,2.764705882,0.362,1.000823529,4.235294118,1.471411765,0.465,0.497,4.4,2.2,8.9,0.4,4.2,0.24,0.29,4.7,0.470588235,10.70912575,8.03184431,98.3,97.8,0.35,0.465569444
Treveon Graham,Cha,SG,24,63,16.7,34.7,11.3,0.099,59,0.695,124,1.968253968,0.452,0.889650794,97,1.53968254,0.412,0.634349206,3.507936508,1.524,0.525,0.553,4.3,1.9,6.2,0.9,7.8,0.52,0.03,4.7,0.650873016,10.64746202,7.985596518,114.6,101.4,0.43,0.524859728
Trevor Ariza,Hou,SF,32,67,33.9,70.6,14.5,0.071,89,0.854,189,2.820895522,0.519,1.464044776,462,6.895522388,0.368,2.537552239,9.71641791,4.001597015,0.542,0.567,11.7,4.4,7.3,1.6,6.8,1.46,0.19,5.1,1.13441791,14.89961499,11.17471124,113.8,102.9,0.79,0.542419355
Trevor Booker,Bro,PF,#N/A,18,21.9,45.7,21.8,0.151,43,0.558,138,7.666666667,0.536,4.109333333,12,0.666666667,0.25,0.166666667,8.333333333,4.276,0.523,0.536,10.1,6.6,16,2.1,16.2,0.44,0.28,9.5,1.333,21.88237,16.4117775,105.1,101.2,1.67,0.52312
Trevor Booker,Phi,PF,30,33,15,31.2,12.6,0.137,39,0.821,102,3.090909091,0.578,1.786545455,7,0.212121212,0.286,0.060666667,3.303030303,1.847212121,0.569,0.618,4.7,3.7,13.3,0.8,7.6,0.48,0.33,6.4,0.970272727,17.35013531,13.01260148,124.1,98.1,0.61,0.568431193
Trevor Booker,Ind,PF,30,17,15.8,33,16.2,0.092,11,0.909,70,4.117647059,0.514,2.116470588,14,0.823529412,0.214,0.176235294,4.941176471,2.292705882,0.482,0.512,5.4,4.5,16.1,1,9,0.24,0.29,7.3,0.588176471,16.04853472,12.03640104,114.9,101.6,0.53,0.481833333
Trey Burke,Nyk,PG,25,36,21.8,45.4,25.2,0.095,57,0.649,279,7.75,0.556,4.309,105,2.916666667,0.362,1.055833333,10.66666667,5.364833333,0.552,0.563,12.8,2,5,4.7,36.4,0.67,0.11,9.1,1.027583333,25.59895441,19.19921581,117,110.9,1.19,0.552445312
Trey Lyles,Den,PF,22,73,19.1,39.7,21.1,0.09,145,0.697,332,4.547945205,0.563,2.560493151,218,2.98630137,0.381,1.137780822,7.534246575,3.698273973,0.566,0.59,9.9,4.8,14,1.2,10.1,0.41,0.47,8.1,1.384452055,22.72151187,17.0411339,115.9,104.2,0.84,0.566369091
Trey McKinney-Jones,Ind,SG,27,1,1.2,2.5,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,0,#DIV/0!
Tristan Thompson,Cle,C,26,53,20.2,42.1,12.6,0.118,79,0.544,235,4.433962264,0.562,2.491886792,0,0,0,0,4.433962264,2.491886792,0.562,0.569,5.8,6.6,18.4,0.6,4.3,0.3,0.32,5.6,0.810867925,16.0689968,12.0517476,121.5,103.4,0.68,0.562
Troy Daniels,Pho,SG,26,79,20.5,42.8,17.2,0.085,64,0.875,117,1.481012658,0.419,0.620544304,458,5.797468354,0.4,2.318987342,7.278481013,2.939531646,0.563,0.583,8.9,1.6,4.2,0.6,4.5,0.33,0.06,4,0.708860759,13.37303544,10.02977658,109.5,110.1,0.71,0.563170435
Troy Williams,Hou,SF,23,4,4.3,8.9,29.4,0.088,3,0.333,4,1,0.5,0.5,5,1.25,0,0,2.25,0.5,0.222,0.242,1.3,1,13.3,0.3,8.6,0.25,0,6.8,0.24975,-3.037609822,-2.278207367,59.2,94.2,0.25,0.222222222
Troy Williams,Nyk,SF,23,17,17.1,35.6,19.5,0.139,27,0.704,67,3.941176471,0.567,2.234647059,33,1.941176471,0.333,0.646411765,5.882352941,2.881058824,0.545,0.572,7.5,3.5,11.3,0.9,7.7,1.12,0.24,6.7,1.118117647,20.5001445,15.37510838,108.7,100.5,1.06,0.544725
Tyler Cavanaugh,Atl,PF,23,39,13.3,27.7,14.8,0.08,21,0.81,63,1.615384615,0.556,0.898153846,89,2.282051282,0.36,0.821538462,3.897435897,1.719692308,0.546,0.567,4.7,3.3,13.7,0.7,7.8,0.23,0.1,6.7,0.436153846,15.23828547,11.4287141,119.1,101.5,0.36,0.546631579
