NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
Dennis Smith Jr.,Det,G,23.47,20.00,19.60,40.90,18.80,14.80,20.00,1.00,0.70,0.70,80.00,4.00,1.85,0.46,55.00,2.75,0.95,0.35,6.75,2.80,0.49,0.50,7.30,2.70,7.50,3.70,28.80,1.00,0.70,1.25,8.50,106.00,106.60,16.88,12.66
Ish Smith,Was,G,32.86,44.00,21.00,43.70,15.80,11.60,33.00,0.75,0.43,0.58,248.00,5.64,2.53,0.45,49.00,1.11,0.41,0.37,6.75,2.93,0.47,0.47,6.70,3.40,8.60,3.90,24.70,0.73,0.30,0.93,8.50,105.10,109.10,15.06,11.29
Jalen Smith,Pho,F-C,21.17,27.00,5.80,12.00,17.20,11.70,7.00,0.26,0.19,0.71,33.00,1.22,0.67,0.55,17.00,0.63,0.15,0.24,1.85,0.81,0.48,0.50,2.00,1.40,13.50,0.10,3.40,0.04,0.19,0.26,4.50,96.20,103.70,7.01,5.26
Tony Snell,Atl,G,29.52,47.00,21.10,44.00,8.60,10.70,11.00,0.23,0.23,1.00,62.00,1.32,0.55,0.42,109.00,2.32,1.32,0.57,3.64,1.87,0.70,0.71,5.30,2.40,6.20,1.30,7.90,0.28,0.23,0.45,4.80,134.70,110.20,11.18,8.38
Ray Spalding,Hou,F,24.18,2.00,9.40,19.50,17.90,38.10,2.00,1.00,0.00,0.00,3.00,1.50,1.00,0.67,1.00,0.50,0.00,0.00,2.00,1.00,0.50,0.41,2.00,2.00,11.40,0.00,0.00,0.00,1.00,1.50,0.00,60.20,104.10,-0.42,-0.31
Cassius Stanley,Ind,G,21.75,24.00,3.90,8.10,21.90,2.10,9.00,0.38,0.29,0.78,30.00,1.25,0.42,0.33,13.00,0.54,0.13,0.23,1.79,0.54,0.34,0.38,1.50,0.80,11.60,0.00,1.40,0.04,0.08,0.04,0.00,,,0.80,0.60
Lamar Stevens,Cle,F,23.86,40.00,12.50,26.00,15.90,12.70,51.00,1.28,0.92,0.73,111.00,2.78,1.45,0.52,25.00,0.63,0.10,0.16,3.40,1.55,0.47,0.52,4.10,2.40,10.70,0.60,7.50,0.43,0.33,0.58,5.80,103.00,106.00,11.83,8.88
Isaiah Stewart,Det,F-C,19.99,68.00,21.40,44.60,15.50,13.00,92.00,1.35,0.94,0.70,346.00,5.09,3.01,0.59,63.00,0.93,0.31,0.33,6.01,3.32,0.58,0.60,7.90,6.70,17.30,0.90,6.30,0.56,1.26,0.99,6.80,117.00,100.80,18.96,14.22
Max Strus,Mia,G-F,25.13,39.00,13.00,27.10,18.30,3.90,24.00,0.62,0.41,0.67,39.00,1.00,0.90,0.90,148.00,3.79,1.28,0.34,4.79,2.18,0.59,0.60,6.10,1.10,4.60,0.60,7.30,0.28,0.05,0.21,4.90,115.40,107.70,14.12,10.59
Edmond Sumner,Ind,G,25.38,53.00,16.20,33.90,18.30,13.80,83.00,1.57,1.28,0.82,194.00,3.66,2.13,0.58,88.00,1.66,0.66,0.40,5.32,2.79,0.59,0.63,7.50,1.80,5.90,0.90,7.90,0.62,0.19,0.96,5.70,111.30,107.50,15.81,11.86
Jae'Sean Tate,Hou,F,25.55,70.00,29.20,60.80,16.40,12.50,147.00,2.10,1.46,0.69,431.00,6.16,3.66,0.59,195.00,2.79,0.86,0.31,8.94,4.52,0.55,0.58,11.30,5.30,9.80,2.50,13.20,1.21,0.51,1.41,7.30,113.90,107.10,16.96,12.72
Jayson Tatum,Bos,F-G,23.21,64.00,35.80,74.50,30.80,10.40,340.00,5.31,4.61,0.87,833.00,13.02,6.53,0.50,485.00,7.58,2.93,0.39,20.59,9.46,0.53,0.58,26.40,7.40,11.50,4.30,20.30,1.17,0.48,2.67,10.50,113.40,109.70,26.51,19.89
Jeff Teague,Bos,G,32.93,34.00,18.10,37.80,17.70,15.40,61.00,1.79,1.50,0.84,132.00,3.88,1.53,0.39,56.00,1.65,0.76,0.46,5.53,2.29,0.48,0.54,6.90,1.70,5.10,2.10,16.20,0.76,0.21,1.15,6.40,107.40,110.20,13.18,9.88
Jeff Teague,Mil,G,32.93,21.00,15.90,33.10,17.50,17.90,44.00,2.10,1.81,0.86,69.00,3.29,1.67,0.51,26.00,1.24,0.48,0.39,4.52,2.14,0.53,0.60,6.60,1.50,4.90,2.80,22.20,0.38,0.24,1.19,7.60,117.80,112.90,16.17,12.13
Garrett Temple,Chi,G-F,35.03,56.00,27.30,56.90,13.00,12.40,50.00,0.89,0.71,0.80,181.00,3.23,1.63,0.50,200.00,3.57,1.20,0.34,6.80,2.82,0.50,0.53,7.60,2.80,5.80,2.20,10.50,0.77,0.52,1.02,5.30,105.00,108.40,10.64,7.98
Tyrell Terry,Dal,G,20.63,11.00,5.10,10.70,15.20,10.40,3.00,0.27,0.09,0.33,9.00,0.82,0.45,0.56,7.00,0.64,0.00,0.00,1.45,0.45,0.31,0.32,1.00,0.50,5.90,0.50,13.90,0.45,0.00,0.18,4.90,75.10,109.90,1.89,1.42
Daniel Theis,Bos,F-C,29.12,42.00,24.50,50.90,15.00,11.40,67.00,1.60,1.10,0.69,193.00,4.60,3.00,0.65,95.00,2.26,0.78,0.35,6.86,3.79,0.61,0.63,9.50,5.20,11.90,1.60,9.30,0.60,1.02,0.98,7.00,122.00,103.60,18.16,13.62
Daniel Theis,Chi,F,29.12,23.00,24.90,52.00,16.80,11.30,43.00,1.87,1.22,0.65,121.00,5.26,3.35,0.64,57.00,2.48,0.70,0.28,7.74,4.04,0.57,0.58,10.00,5.90,13.10,1.80,10.00,0.70,0.61,1.09,7.60,115.70,106.40,17.93,13.45
Brodric Thomas,Hou,G,24.30,4.00,6.10,12.60,24.70,28.40,7.00,1.75,1.25,0.71,1.00,0.25,0.25,1.00,6.00,1.50,0.25,0.17,1.75,0.50,0.36,0.50,2.50,1.00,8.80,1.00,22.50,0.25,0.25,1.00,8.90,88.40,96.30,7.87,5.91
Brodric Thomas,Cle,G,24.30,28.00,13.40,27.90,15.80,13.20,39.00,1.39,0.93,0.67,48.00,1.71,0.79,0.46,53.00,1.89,0.54,0.28,3.61,1.32,0.44,0.49,4.10,1.80,7.30,0.90,9.90,0.50,0.32,0.64,5.60,96.50,108.10,9.59,7.19
Isaiah Thomas,Nor,G,32.27,3.00,16.10,33.50,29.50,17.70,2.00,0.67,0.67,1.00,15.00,5.00,2.00,0.40,12.00,4.00,1.00,0.25,9.00,3.00,0.39,0.41,7.70,1.30,4.50,1.70,15.00,0.33,0.00,2.00,6.40,78.10,112.50,4.33,3.25
Khyri Thomas,Hou,G,25.02,5.00,30.60,63.70,21.10,7.90,9.00,1.80,1.80,1.00,39.00,7.80,4.60,0.59,27.00,5.40,1.80,0.33,13.20,6.40,0.55,0.59,16.40,3.60,6.30,5.00,26.90,1.80,1.20,1.20,8.70,122.80,113.30,24.85,18.64
Matt Thomas,Tor,G,26.78,26.00,7.40,15.40,16.00,8.40,7.00,0.27,0.23,0.86,21.00,0.81,0.27,0.33,41.00,1.58,0.65,0.42,2.38,0.92,0.52,0.55,2.70,0.80,6.00,0.30,6.70,0.08,0.00,0.23,4.70,105.90,114.70,7.07,5.30
Matt Thomas,Uta,G,26.78,19.00,7.10,14.70,24.40,10.50,7.00,0.37,0.32,0.86,26.00,1.37,0.84,0.62,39.00,2.05,0.53,0.26,3.42,1.37,0.48,0.50,3.60,1.20,9.10,0.50,11.20,0.11,0.00,0.42,7.30,99.80,106.00,10.07,7.55
Tristan Thompson,Bos,C-F,30.18,54.00,23.80,49.60,14.80,14.10,120.00,2.22,1.32,0.59,323.00,5.98,3.13,0.52,3.00,0.06,0.00,0.00,6.04,3.13,0.52,0.54,7.60,8.10,19.00,1.20,7.20,0.44,0.61,1.15,7.10,114.50,105.40,15.70,11.78
Sindarius Thornwell,Nor,G,26.50,14.00,5.20,10.90,14.80,15.50,2.00,0.14,0.00,0.00,12.00,0.86,0.29,0.33,9.00,0.64,0.21,0.33,1.50,0.50,0.41,0.39,1.20,0.40,3.70,0.30,7.00,0.36,0.07,0.29,4.00,76.10,111.80,0.74,0.55
Sindarius Thornwell,Orl,G,26.50,7.00,20.50,42.70,9.20,9.80,6.00,0.86,0.57,0.67,11.00,1.57,0.57,0.36,14.00,2.00,0.57,0.29,3.57,1.14,0.40,0.43,3.40,1.90,4.70,2.40,16.00,1.00,0.14,0.43,4.90,104.30,108.90,8.88,6.66
Matisse Thybulle,Phi,G-F,24.20,65.00,20.00,41.60,9.40,11.30,18.00,0.28,0.12,0.44,100.00,1.54,0.91,0.59,143.00,2.20,0.66,0.30,3.74,1.57,0.51,0.51,3.90,1.90,5.30,1.00,6.30,1.62,1.09,0.49,3.90,103.60,100.20,11.69,8.77
Killian Tillie,Mem,F-C,23.20,18.00,10.10,21.00,14.80,3.10,11.00,0.61,0.50,0.82,24.00,1.33,0.50,0.38,33.00,1.83,0.56,0.30,3.17,1.06,0.42,0.46,3.20,1.30,7.00,0.40,5.60,0.28,0.44,0.11,4.70,103.40,104.90,9.25,6.94
Xavier Tillman,Mem,F,22.34,59.00,18.40,38.30,14.30,12.30,53.00,0.90,0.58,0.64,234.00,3.97,2.46,0.62,65.00,1.10,0.37,0.34,5.07,2.83,0.60,0.61,6.60,4.30,12.50,1.30,9.40,0.75,0.56,0.76,7.20,117.90,102.60,17.65,13.24
Anthony Tolliver,Phi,F,35.96,11.00,9.00,18.80,9.80,13.30,6.00,0.55,0.45,0.83,3.00,0.27,0.00,0.00,14.00,1.27,0.36,0.29,1.55,0.36,0.35,0.43,1.50,0.90,5.60,0.20,2.50,0.27,0.18,0.27,2.90,90.70,106.30,2.61,1.96
Obi Toppin,Nyk,F,23.20,62.00,11.00,23.00,15.90,9.40,26.00,0.42,0.31,0.73,124.00,2.00,1.26,0.63,85.00,1.37,0.42,0.31,3.37,1.68,0.56,0.57,4.10,2.20,11.00,0.50,6.40,0.27,0.24,0.37,6.00,111.90,102.90,13.49,10.12
Juan Toscano-Anderson,Gol,F,28.10,53.00,20.90,43.50,11.00,21.80,31.00,0.58,0.42,0.71,117.00,2.21,1.59,0.72,92.00,1.74,0.70,0.40,3.94,2.28,0.67,0.68,5.70,4.40,11.20,2.80,18.10,0.77,0.49,1.17,7.90,120.70,102.40,16.41,12.31
Axel Toupane,Mil,G-F,20.00,8.00,7.70,15.90,9.60,0.00,7.00,0.88,0.62,0.71,9.00,1.13,0.37,0.33,2.00,0.25,0.13,0.50,1.38,0.50,0.41,0.50,1.80,0.80,5.20,0.50,7.60,0.25,0.38,0.00,4.70,118.60,105.50,8.97,6.72
Karl-Anthony Towns,Min,C-F,25.50,50.00,33.80,70.40,29.10,13.70,311.00,6.22,5.34,0.86,560.00,11.20,6.06,0.54,315.00,6.30,2.44,0.39,17.50,8.50,0.56,0.61,24.80,10.60,17.00,4.50,22.60,0.76,1.14,3.20,12.50,116.40,105.40,29.88,22.41
Gary Trent Jr.,Por,G-F,22.33,41.00,30.80,64.10,20.10,5.30,75.00,1.83,1.41,0.77,219.00,5.34,2.34,0.44,305.00,7.44,2.95,0.40,12.78,5.29,0.53,0.55,15.00,2.20,3.90,1.40,6.70,0.90,0.15,0.76,4.70,112.00,116.40,14.59,10.95
Gary Trent Jr.,Tor,G-F,22.33,17.00,31.80,66.20,22.90,4.20,31.00,1.82,1.47,0.81,137.00,8.06,3.47,0.43,124.00,7.29,2.59,0.36,15.35,6.06,0.48,0.50,16.20,3.60,6.20,1.30,6.40,1.12,0.24,0.71,5.30,100.30,112.70,14.97,11.23
P.J. Tucker,Hou,F,36.03,32.00,30.00,62.40,7.70,19.00,23.00,0.72,0.56,0.78,45.00,1.41,0.66,0.47,86.00,2.69,0.84,0.31,4.09,1.50,0.47,0.50,4.40,4.60,8.20,1.40,6.10,0.88,0.56,1.03,4.10,99.00,109.30,7.54,5.65
P.J. Tucker,Mil,F,36.03,20.00,19.80,41.30,5.80,12.70,5.00,0.25,0.15,0.60,13.00,0.65,0.25,0.39,33.00,1.65,0.65,0.39,2.30,0.90,0.53,0.54,2.60,2.80,7.40,0.80,4.60,0.50,0.10,0.35,3.60,119.10,107.40,6.56,4.92
Rayjon Tucker,Phi,G,23.64,14.00,4.90,10.10,19.20,13.20,19.00,1.36,1.00,0.74,11.00,0.79,0.50,0.64,7.00,0.50,0.14,0.29,1.29,0.64,0.56,0.65,2.40,0.80,8.90,0.40,12.20,0.14,0.00,0.29,7.50,122.70,99.40,13.65,10.24
Myles Turner,Ind,C-F,25.15,47.00,31.00,64.50,16.40,11.90,142.00,3.02,2.36,0.78,226.00,4.81,2.91,0.61,206.00,4.38,1.47,0.34,9.19,4.38,0.56,0.60,12.60,6.50,11.40,1.00,4.40,0.85,3.38,1.43,5.60,111.40,104.40,19.67,14.75
Jonas Valanciunas,Mem,C,29.03,62.00,28.30,59.00,22.40,10.70,203.00,3.27,2.53,0.77,685.00,11.05,6.76,0.61,57.00,0.92,0.34,0.37,11.97,7.10,0.61,0.64,17.10,12.50,23.40,1.80,10.00,0.56,0.92,1.61,10.30,124.90,101.00,29.31,21.99
Denzel Valentine,Chi,G,27.50,62.00,16.70,34.80,19.50,9.00,17.00,0.27,0.26,0.94,174.00,2.81,1.21,0.43,242.00,3.90,1.29,0.33,6.71,2.50,0.47,0.48,6.50,3.20,10.50,1.70,14.00,0.48,0.11,0.68,7.90,99.60,108.10,13.12,9.84
Jarred Vanderbilt,Min,F,22.12,64.00,17.80,37.10,12.30,15.90,102.00,1.59,0.89,0.56,231.00,3.61,2.22,0.62,5.00,0.08,0.02,0.20,3.69,2.24,0.61,0.61,5.40,5.80,17.50,1.20,9.30,1.00,0.73,0.83,7.50,120.60,104.00,19.07,14.30
Fred VanVleet,Tor,G,27.22,52.00,36.50,76.10,23.90,9.10,191.00,3.67,3.25,0.89,394.00,7.58,3.15,0.42,476.00,9.15,3.35,0.37,16.73,6.50,0.49,0.53,19.60,4.20,6.40,6.30,26.70,1.67,0.71,1.83,8.80,112.40,111.00,21.18,15.89
Anderson Varejao,Cle,F,38.63,5.00,7.20,15.00,25.40,4.80,9.00,1.80,1.00,0.56,15.00,3.00,0.80,0.27,1.00,0.20,0.00,0.00,3.20,0.80,0.25,0.33,2.60,4.00,31.10,0.60,12.20,0.00,0.40,0.20,10.20,90.10,104.60,12.13,9.10
Devin Vassell,San,G-F,20.73,62.00,17.00,35.50,14.30,6.30,51.00,0.82,0.69,0.84,153.00,2.47,1.15,0.46,150.00,2.42,0.84,0.35,4.89,1.98,0.49,0.52,5.50,2.80,8.80,0.90,7.10,0.69,0.29,0.35,5.70,107.50,106.60,12.94,9.71
Gabe Vincent,Mia,G,24.92,50.00,13.10,27.30,19.10,12.30,23.00,0.46,0.40,0.87,84.00,1.68,0.84,0.50,149.00,2.98,0.92,0.31,4.66,1.76,0.48,0.50,4.80,1.10,4.90,1.30,15.10,0.42,0.04,0.68,5.80,97.80,103.00,9.64,7.23
Noah Vonleh,Bro,F,25.73,4.00,2.70,5.60,20.20,40.00,0.00,0.00,0.00,0.00,1.00,0.25,0.00,0.00,2.00,0.50,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.30,5.10,0.30,10.40,0.00,0.00,0.50,0.00,,,-27.11,-20.33
Nikola Vucevic,Orl,C,30.56,44.00,34.10,71.00,29.90,8.00,110.00,2.50,2.07,0.83,620.00,14.09,7.26,0.52,288.00,6.55,2.66,0.41,20.64,9.91,0.55,0.57,24.50,11.80,17.90,3.80,22.10,0.95,0.64,1.89,12.10,111.70,108.10,29.18,21.89
Nikola Vucevic,Chi,C,30.56,26.00,32.60,67.90,28.20,7.80,46.00,1.77,1.54,0.87,336.00,12.92,6.58,0.51,152.00,5.85,2.27,0.39,18.77,8.85,0.53,0.55,21.50,11.60,19.70,3.90,20.00,0.88,0.77,1.65,12.20,112.00,105.20,27.82,20.87
Dean Wade,Cle,F-C,24.49,63.00,19.20,40.10,12.90,8.40,39.00,0.62,0.48,0.77,98.00,1.56,0.89,0.57,213.00,3.38,1.24,0.37,4.94,2.13,0.56,0.57,6.00,3.40,9.90,1.20,8.90,0.54,0.33,0.48,6.00,115.50,111.00,13.35,10.01
Moritz Wagner,Was,F-C,24.06,25.00,15.00,31.30,18.30,12.70,52.00,2.08,1.64,0.79,80.00,3.20,1.96,0.61,42.00,1.68,0.52,0.31,4.88,2.48,0.56,0.61,7.10,2.90,10.30,1.30,11.70,0.88,0.32,0.84,8.00,116.40,97.00,20.35,15.26
Moritz Wagner,Bos,F-C,24.06,9.00,6.80,14.10,16.90,37.70,2.00,0.22,0.11,0.50,8.00,0.89,0.22,0.25,6.00,0.67,0.22,0.33,1.56,0.44,0.36,0.37,1.20,2.10,17.40,0.70,12.40,0.00,0.11,1.00,7.10,65.40,97.00,-0.44,-0.33
Moritz Wagner,Orl,F-C,24.06,11.00,26.00,54.10,18.20,10.80,33.00,3.00,2.64,0.88,50.00,4.55,2.00,0.44,43.00,3.91,1.45,0.37,8.45,3.45,0.50,0.56,11.00,4.90,9.80,1.10,6.40,0.36,0.82,1.18,6.00,109.20,104.40,15.18,11.38
Lonnie Walker IV,San,G-F,22.42,60.00,25.40,52.80,20.20,9.20,70.00,1.17,0.95,0.81,327.00,5.45,2.60,0.48,282.00,4.70,1.67,0.36,10.15,4.27,0.50,0.52,11.20,2.60,5.40,1.70,9.60,0.48,0.25,1.08,5.80,99.90,111.10,12.74,9.55
Kemba Walker,Bos,G,31.03,43.00,31.80,66.30,26.10,10.60,149.00,3.47,3.12,0.90,323.00,7.51,3.65,0.49,353.00,8.21,2.96,0.36,15.72,6.61,0.51,0.56,19.30,4.00,6.90,4.90,23.80,1.12,0.28,2.05,9.10,113.50,112.60,21.67,16.25
John Wall,Hou,G,30.69,40.00,32.20,67.10,31.70,14.70,211.00,5.28,3.95,0.75,477.00,11.93,5.35,0.45,249.00,6.23,1.97,0.32,18.15,7.33,0.46,0.50,20.60,3.20,5.30,6.90,36.20,1.05,0.78,3.53,9.60,99.30,116.40,19.88,14.91
Brad Wanamaker,Gol,G,31.81,39.00,16.00,33.40,16.00,15.80,56.00,1.44,1.28,0.89,112.00,2.87,1.23,0.43,61.00,1.56,0.33,0.21,4.44,1.57,0.39,0.47,4.70,1.70,5.60,2.50,20.80,0.67,0.15,0.95,6.80,99.50,106.20,11.12,8.34
Brad Wanamaker,Cha,G,31.81,22.00,19.50,40.50,18.10,18.90,45.00,2.05,1.82,0.89,102.00,4.64,2.32,0.50,24.00,1.09,0.14,0.13,5.73,2.45,0.44,0.52,6.90,1.80,4.90,3.40,24.90,0.73,0.23,1.55,7.10,104.60,108.30,13.31,9.98
T.J. Warren,Ind,F,27.70,4.00,29.40,61.10,21.50,6.70,10.00,2.50,2.00,0.80,44.00,11.00,6.75,0.61,7.00,1.75,0.00,0.00,12.75,6.75,0.53,0.56,15.50,3.50,6.50,1.30,6.40,0.50,0.00,1.00,5.60,107.00,104.70,16.73,12.55
P.J. Washington,Cha,F,22.73,64.00,30.50,63.60,19.40,14.60,145.00,2.27,1.69,0.75,397.00,6.20,2.97,0.48,290.00,4.53,1.75,0.39,10.73,4.72,0.52,0.55,12.90,6.50,11.60,2.50,12.20,1.09,1.23,2.00,7.80,104.30,105.80,17.25,12.93
Yuta Watanabe,Tor,G-F,26.59,50.00,14.50,30.10,12.70,9.00,29.00,0.58,0.48,0.83,90.00,1.80,0.86,0.48,90.00,1.80,0.72,0.40,3.60,1.58,0.54,0.57,4.40,3.20,12.00,0.80,7.70,0.52,0.40,0.38,6.20,116.40,107.60,14.03,10.52
Tremont Waters,Bos,G,23.35,26.00,9.10,19.00,21.50,22.80,17.00,0.65,0.62,0.94,46.00,1.77,0.73,0.41,38.00,1.46,0.58,0.40,3.23,1.31,0.49,0.54,3.80,0.80,4.90,2.40,36.40,0.58,0.04,1.04,8.50,107.70,108.90,15.27,11.45
Paul Watson,Tor,G,26.38,27.00,11.00,22.90,13.80,9.50,8.00,0.30,0.19,0.63,18.00,0.67,0.30,0.44,64.00,2.37,1.11,0.47,3.04,1.41,0.65,0.65,4.10,1.70,8.30,0.60,8.20,0.19,0.11,0.33,5.90,120.30,104.90,12.99,9.74
Quinndary Weatherspoon,San,G,24.68,20.00,6.10,12.60,18.70,19.20,16.00,0.80,0.65,0.81,29.00,1.45,0.75,0.52,6.00,0.30,0.05,0.17,1.75,0.80,0.47,0.55,2.30,0.60,4.80,0.40,9.00,0.40,0.10,0.50,5.40,96.60,100.00,8.76,6.57
Russell Westbrook,Was,G,32.51,65.00,36.40,75.90,30.30,18.00,413.00,6.35,4.17,0.66,965.00,14.85,7.05,0.48,273.00,4.20,1.32,0.32,19.05,8.37,0.47,0.51,22.20,11.50,16.80,11.70,48.60,1.35,0.35,4.80,15.80,104.10,104.30,26.91,20.18
Coby White,Chi,G,21.25,69.00,31.20,65.10,22.50,13.90,142.00,2.06,1.85,0.90,448.00,6.49,3.07,0.47,454.00,6.58,2.36,0.36,13.07,5.43,0.51,0.54,15.10,4.10,7.30,4.80,21.80,0.55,0.22,2.26,8.60,105.50,108.30,16.46,12.35
Derrick White,San,G,26.87,36.00,29.50,61.60,22.40,8.20,114.00,3.17,2.69,0.85,210.00,5.83,2.84,0.49,243.00,6.75,2.34,0.35,12.58,5.17,0.50,0.55,15.40,3.00,5.40,3.50,17.40,0.72,1.00,1.25,7.40,110.60,108.70,18.88,14.16
Hassan Whiteside,Sac,C,31.93,36.00,15.20,31.60,23.50,13.40,79.00,2.19,1.14,0.52,223.00,6.19,3.50,0.57,1.00,0.03,0.00,0.00,6.22,3.50,0.56,0.57,8.10,6.00,21.90,0.60,5.60,0.25,1.28,1.11,8.10,106.80,103.20,23.15,17.36
Greg Whittington,Den,F,28.27,4.00,3.00,6.30,10.90,0.00,0.00,0.00,0.00,0.00,1.00,0.25,0.00,0.00,2.00,0.50,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-21.13,-15.85
Andrew Wiggins,Gol,F,26.23,71.00,33.30,69.40,23.30,9.70,238.00,3.35,2.39,0.71,690.00,9.72,5.14,0.53,368.00,5.18,1.97,0.38,14.90,7.11,0.54,0.57,18.60,4.90,7.80,2.40,10.90,0.93,0.99,1.76,7.20,107.40,108.70,19.64,14.73
Robert Williams III,Bos,C-F,23.58,52.00,18.90,39.50,15.00,15.20,73.00,1.40,0.86,0.62,256.00,4.92,3.58,0.73,2.00,0.04,0.00,0.00,4.96,3.58,0.72,0.72,8.00,6.90,20.20,1.80,14.20,0.83,1.77,1.00,9.80,137.80,101.50,27.88,20.91
Grant Williams,Bos,F,22.46,63.00,18.10,37.60,12.30,17.20,51.00,0.81,0.48,0.59,118.00,1.87,0.95,0.51,129.00,2.05,0.76,0.37,3.92,1.71,0.53,0.55,4.70,2.80,8.70,1.00,7.40,0.51,0.37,0.89,5.20,104.00,101.90,9.58,7.19
Kenrich Williams,Okc,G-F,26.46,66.00,21.60,45.00,15.30,14.80,63.00,0.95,0.55,0.57,294.00,4.45,2.53,0.57,117.00,1.77,0.79,0.44,6.23,3.32,0.60,0.60,8.00,4.10,9.90,2.30,16.40,0.86,0.26,1.15,7.80,115.40,106.20,16.74,12.56
Lou Williams,Lac,G,34.55,42.00,21.90,45.50,26.50,12.00,119.00,2.83,2.45,0.87,311.00,7.40,3.24,0.44,119.00,2.83,1.07,0.38,10.24,4.31,0.47,0.53,12.10,2.10,5.40,3.40,23.30,0.93,0.10,1.57,8.10,107.90,110.50,18.31,13.73
Lou Williams,Atl,G,34.55,24.00,21.10,43.90,24.30,14.60,54.00,2.25,1.96,0.87,163.00,6.79,2.50,0.37,54.00,2.25,1.00,0.44,9.04,3.50,0.44,0.50,10.00,2.10,5.40,3.40,23.70,0.33,0.08,1.71,7.90,100.70,114.20,13.31,9.98
Zion Williamson,Nor,F,20.86,61.00,33.20,69.20,29.80,11.60,529.00,8.67,6.05,0.70,1003.00,16.44,10.23,0.62,34.00,0.56,0.16,0.29,17.00,10.39,0.62,0.65,27.00,7.20,11.80,3.70,19.80,0.93,0.64,2.74,10.80,123.40,109.80,31.84,23.88
Patrick Williams,Chi,F,19.72,71.00,27.90,58.20,14.90,14.40,125.00,1.76,1.28,0.73,390.00,5.49,2.83,0.52,138.00,1.94,0.76,0.39,7.44,3.59,0.53,0.56,9.20,4.60,9.10,1.40,6.70,0.90,0.65,1.38,5.60,104.60,109.10,13.08,9.81
D.J. Wilson,Mil,F,25.24,12.00,8.70,18.20,19.20,8.40,2.00,0.17,0.08,0.50,15.00,1.25,0.50,0.40,28.00,2.33,0.83,0.36,3.58,1.33,0.49,0.49,3.60,2.10,12.60,0.30,3.70,0.08,0.33,0.33,6.00,96.20,101.40,10.90,8.17
D.J. Wilson,Hou,F-C,25.24,23.00,14.30,29.70,19.90,11.80,23.00,1.00,0.70,0.70,66.00,2.87,1.39,0.49,59.00,2.57,0.87,0.34,5.43,2.26,0.50,0.52,6.10,3.80,14.10,0.90,9.30,0.43,0.52,0.78,7.70,100.60,106.80,15.78,11.84
Dylan Windler,Cle,G-F,24.65,31.00,16.50,34.50,14.90,18.30,27.00,0.87,0.68,0.78,53.00,1.71,1.00,0.59,78.00,2.52,0.84,0.33,4.23,1.84,0.53,0.56,5.20,3.50,11.60,1.10,9.40,0.61,0.39,1.03,6.60,102.00,108.90,12.80,9.60
Justise Winslow,Mem,F-G,25.14,26.00,19.50,40.60,21.90,14.10,35.00,1.35,0.77,0.57,156.00,6.00,2.46,0.41,54.00,2.08,0.38,0.19,8.08,2.84,0.38,0.40,6.80,4.50,12.30,1.90,13.30,0.58,0.46,1.42,7.90,81.80,104.10,9.72,7.29
Cassius Winston,Was,G,23.21,22.00,4.50,9.30,17.10,12.30,6.00,0.27,0.23,0.83,16.00,0.73,0.27,0.38,17.00,0.77,0.36,0.47,1.50,0.64,0.55,0.58,1.90,0.40,4.90,0.50,16.30,0.09,0.05,0.23,6.40,110.50,109.70,8.04,6.03
James Wiseman,Gol,C,20.13,39.00,21.40,44.70,23.80,12.90,86.00,2.21,1.38,0.63,330.00,8.46,4.59,0.54,38.00,0.97,0.31,0.32,9.44,4.89,0.54,0.55,11.50,5.80,14.40,0.70,4.90,0.28,0.92,1.54,6.70,99.50,98.30,18.49,13.87
Robert Woodard II,Sac,F,21.65,13.00,3.50,7.30,23.20,4.10,8.00,0.62,0.23,0.38,14.00,1.08,0.54,0.50,6.00,0.46,0.08,0.17,1.54,0.62,0.43,0.43,1.50,1.20,19.60,0.20,6.20,0.00,0.23,0.08,8.10,,,8.12,6.09
Christian Wood,Hou,F,25.64,41.00,32.30,67.40,25.90,9.90,198.00,4.83,3.05,0.63,434.00,10.59,6.15,0.58,206.00,5.02,1.88,0.37,15.61,8.03,0.57,0.59,21.00,9.60,15.90,1.70,9.40,0.83,1.17,1.95,8.70,110.50,109.40,25.49,19.12
Delon Wright,Det,G,29.06,36.00,29.20,60.90,15.80,12.60,90.00,2.50,1.97,0.79,204.00,5.67,2.92,0.52,89.00,2.47,0.86,0.35,8.14,3.78,0.52,0.56,10.40,4.60,8.70,5.00,25.70,1.58,0.53,1.33,8.50,119.10,110.50,19.08,14.31
Delon Wright,Sac,G,29.06,27.00,25.80,53.70,17.10,12.70,36.00,1.33,1.11,0.83,142.00,5.26,2.63,0.50,83.00,3.07,1.22,0.40,8.33,3.85,0.54,0.56,10.00,3.90,8.40,3.60,18.90,1.56,0.37,1.30,8.10,114.90,115.40,18.35,13.76
