NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,Tor%,FTAT,FTA,FTM,FT%,2PAT,2PA,2PM,2P%,3PAT,3PA,3PM,3P%,FGA,FGM,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TO,VI,ORTG,DRTG,PER_n,PER
E'Twaun Moore,Pho,G,32.22,27.00,14.40,30.00,17.20,15.30,14.00,0.52,0.44,0.86,86.00,3.19,1.63,0.51,35.00,1.30,0.41,0.31,4.48,2.04,0.50,0.52,4.90,1.70,6.60,1.50,13.70,0.56,0.19,0.85,6.40,102.90,107.00,11.65,8.74
Ja Morant,Mem,G,21.77,63.00,32.60,67.90,27.20,15.30,372.00,5.90,4.30,0.73,716.00,11.37,5.67,0.50,241.00,3.83,1.16,0.30,15.19,6.83,0.49,0.54,19.10,4.00,6.50,7.40,33.50,0.90,0.21,3.22,10.10,107.60,112.50,20.98,15.74
Juwan Morgan,Uta,F,24.08,29.00,5.10,10.60,10.90,10.80,7.00,0.24,0.10,0.43,17.00,0.59,0.34,0.59,13.00,0.45,0.14,0.31,1.03,0.48,0.53,0.53,1.20,1.00,10.10,0.30,8.00,0.14,0.03,0.14,5.60,115.60,96.60,5.72,4.29
Marcus Morris Sr.,Lac,F,31.70,57.00,26.30,54.90,20.10,8.40,89.00,1.56,1.28,0.82,288.00,5.05,2.38,0.47,296.00,5.19,2.46,0.47,10.25,4.84,0.59,0.61,13.40,4.10,8.80,1.00,5.60,0.60,0.26,1.00,5.80,116.40,106.80,17.76,13.32
Markieff Morris,Lal,F,31.70,61.00,19.70,41.00,16.50,11.90,50.00,0.82,0.59,0.72,169.00,2.77,1.44,0.52,209.00,3.43,1.07,0.31,6.20,2.51,0.49,0.51,6.70,4.40,12.40,1.20,8.60,0.36,0.31,0.89,6.70,100.80,101.00,12.15,9.12
Monte Morris,Den,G,25.89,47.00,25.50,53.00,16.50,7.50,73.00,1.55,1.23,0.80,253.00,5.38,2.87,0.53,134.00,2.85,1.09,0.38,8.23,3.96,0.55,0.57,10.20,2.00,4.60,3.20,17.10,0.72,0.28,0.72,6.30,120.90,114.10,16.21,12.16
Mychal Mulder,Gol,G,26.93,60.00,12.80,26.60,16.20,5.50,22.00,0.37,0.23,0.64,51.00,0.85,0.57,0.67,214.00,3.57,1.42,0.40,4.42,1.98,0.61,0.61,5.60,1.00,4.20,0.40,4.80,0.20,0.20,0.27,4.10,112.90,110.10,12.73,9.55
Dejounte Murray,San,G,24.66,67.00,31.90,66.50,23.40,10.20,134.00,2.00,1.58,0.79,775.00,11.57,5.64,0.49,199.00,2.97,0.94,0.32,14.54,6.59,0.49,0.51,15.70,7.10,11.80,5.40,25.90,1.51,0.10,1.75,10.60,105.50,107.00,21.09,15.82
Jamal Murray,Den,G,24.23,48.00,35.50,73.90,24.70,11.10,153.00,3.19,2.77,0.87,476.00,9.92,5.19,0.52,316.00,6.58,2.69,0.41,16.50,7.87,0.56,0.59,21.20,4.00,6.50,4.80,20.30,1.33,0.27,2.23,8.40,116.20,111.10,22.06,16.55
Mike Muscala,Okc,F-C,29.88,35.00,18.40,38.40,20.00,6.90,36.00,1.03,0.94,0.92,83.00,2.37,1.46,0.61,184.00,5.26,1.95,0.37,7.63,3.40,0.57,0.60,9.70,3.80,10.60,0.80,7.00,0.23,0.31,0.60,6.70,115.60,108.60,18.54,13.91
