NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PAT,2PA,2P%,2PM,3PAT,3PA,3P%,3PM,FGA,FGM,FG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,FTM,PER_n,PER,eFG%
Toney Douglas,Nor,PG,29,61,20.7,43.1,19.4,0.116,99,0.848,243,3.983606557,0.424,1.68904918,203,3.327868852,0.399,1.327819672,7.31147541,3.016868852,0.412621076,0.544,8.7,2.3,6.3,2.6,19,1.15,0.08,7.2,1.376262295,18.87794126,14.15845594,0.503424888
Tony Allen,Mem,SF,34,64,25.3,52.7,16.8,0.128,138,0.652,427,6.671875,0.468,3.1224375,42,0.65625,0.357,0.23428125,7.328125,3.35671875,0.458059701,0.505,8.4,4.6,10.5,1.1,6.9,1.72,0.28,5.5,1.405875,16.0155328,12.0116496,0.474044776
Tony Parker,San,PG,33,72,27.5,57.3,21.2,0.143,171,0.76,645,8.958333333,0.501,4.488125,65,0.902777778,0.415,0.374652778,9.861111111,4.862777778,0.493126761,0.546,11.9,2.4,5.1,5.3,29.1,0.75,0.15,7.8,1.805,20.48007684,15.36005763,0.512123239
Tony Snell,Chi,SF,24,64,20.3,42.4,13.7,0.128,33,0.909,184,2.875,0.38,1.0925,155,2.421875,0.361,0.874296875,5.296875,1.966796875,0.371312684,0.478,5.3,3.1,8.1,1,6.9,0.25,0.27,5,0.468703125,9.716255255,7.287191441,0.453842183
Tony Wroten,Phi,PG,22,8,18,37.6,33.5,0.263,37,0.541,48,6,0.396,2.376,17,2.125,0.176,0.374,8.125,2.75,0.338461538,0.412,8.4,2.6,7.9,2.5,23.2,0.38,0,8.4,2.502125,13.89075643,10.41806733,0.361476923
Trevor Ariza,Hou,SF,30,81,35.3,73.5,15.7,0.108,161,0.783,360,4.444444444,0.478,2.124444444,498,6.148148148,0.371,2.280962963,10.59259259,4.405407407,0.415895105,0.552,12.7,4.5,7.1,2.3,10,1.99,0.32,5.8,1.556333333,16.52728386,12.39546289,0.523562937
Trevor Booker,Uta,PF,28,79,20.7,43,14.6,0.157,106,0.67,347,4.392405063,0.513,2.253303797,41,0.518987342,0.293,0.152063291,4.911392405,2.405367089,0.489752577,0.533,5.9,5.7,16.2,1.1,8.2,0.75,0.52,6.4,0.898987342,16.48367713,12.36275785,0.505233247
Trey Burke,Uta,PG,23,64,21.3,44.5,25.3,0.107,82,0.817,378,5.90625,0.46,2.716875,256,4,0.344,1.376,9.90625,4.092875,0.413160883,0.507,10.6,1.8,4.8,2.3,19.7,0.55,0.09,6.6,1.04678125,16.77307566,12.57980674,0.482611987
Trey Lyles,Uta,PF,20,80,17.3,36,17.9,0.121,82,0.695,309,3.8625,0.46,1.77675,127,1.5875,0.386,0.612775,5.45,2.389525,0.438444954,0.517,6.1,3.7,12.6,0.7,7.1,0.33,0.23,5.8,0.712375,14.03388458,10.52541344,0.494662844
Tristan Thompson,Cle,PF,24,82,27.7,57.7,11.7,0.104,242,0.616,420,5.12195122,0.588,3.011707317,0,0,0,0,5.12195122,3.011707317,0.588,0.611,7.8,9,18.4,0.8,4,0.46,0.62,5.5,1.81795122,17.40189844,13.05142383,0.588
Troy Daniels,Cha,SG,24,43,11.1,23.1,20.4,0.112,9,0.556,65,1.511627907,0.462,0.698372093,122,2.837209302,0.484,1.373209302,4.348837209,2.071581395,0.476352941,0.634,5.6,1.3,6.5,0.5,7.6,0.26,0.07,5.5,0.116372093,17.20011926,12.90008944,0.634235294
Ty Lawson,Hou,PG,28,53,22.2,46.2,14.8,0.203,80,0.7,193,3.641509434,0.415,1.511226415,94,1.773584906,0.33,0.585283019,5.41509434,2.096509434,0.387160279,0.48,5.8,1.7,4.2,3.4,22.3,0.81,0.11,5.8,1.056603774,13.02518922,9.768891917,0.441202091
Ty Lawson,Ind,PG,28,13,18.1,37.7,15.5,0.157,6,0.5,53,4.076923077,0.434,1.769384615,14,1.076923077,0.357,0.384461538,5.153846154,2.153846154,0.417910448,0.46,4.9,2.4,7.2,4.4,36.1,0.77,0.08,8.2,0.230769231,17.10268932,12.82701699,0.455208955
